t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,degradation_rate,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell
6.0,0.0005,0.0,55.330365027704445,0.006672395097588252,0.007165744600893064,99.00000634179035,-2.1734307978772226e-14,2.2132146011081777e-13,5.727609132462462e-17,2.6689580390353007e-17,2.866297840357226e-17,4.87339355072702e-15,ACBI1,9.26,36000.0,360,180,360,360,1.6768329368110073,2.5e-11
6.0,0.0005,0.0,55.32730055645363,0.007938739892624629,0.008647125502168826,99.00022707975657,-2.173528110964715e-14,2.2130920222581452e-13,6.907647847918944e-17,3.1754959570498516e-17,3.4588502008675306e-17,4.873583881748211e-15,ACBI1,9.26,36000.0,360,180,360,360,2.0235896477251565,2.5e-11
6.0,0.0005,0.0,55.32123806099308,0.009419795157300438,0.010434172659987466,99.00061586717132,-2.1737206922675332e-14,2.2128495224397235e-13,8.327214334327821e-17,3.767918062920175e-17,4.173669063994986e-17,4.8738132139486776e-15,ACBI1,9.26,36000.0,360,180,360,360,2.442053094548651,2.5e-11
6.0,0.0005,0.0,55.30940292862766,0.011141320341905857,0.012589163993227369,99.00075916743049,-2.1740967480846997e-14,2.2123761171451066e-13,1.0031426862356938e-16,4.4565281367623433e-17,5.035665597290948e-17,4.874089323873106e-15,ACBI1,9.26,36000.0,360,180,360,360,2.9470517025518097,2.5e-11
6.0,0.0005,0.0,55.286656420425665,0.013127481768741277,0.015186049584335127,99.00296540117307,-2.1748195506377207e-14,2.2114662568170266e-13,1.2070649138360287e-16,5.250992707496512e-17,6.074419833734051e-17,4.8744214145444184e-15,ACBI1,9.26,36000.0,360,180,360,360,3.5564803062231287,2.5e-11
6.0,0.0005,0.0,55.24372979344244,0.015398065014305526,0.01831142015770187,99.00262752737412,-2.176183036721487e-14,2.209749191737698e-13,1.4498124429386007e-16,6.15922600572221e-17,7.324568063080748e-17,4.874820358587731e-15,ACBI1,9.26,36000.0,360,180,360,360,4.291934260128776,2.5e-11
6.0,0.0005,0.0,55.164424434462155,0.017964197969055885,0.022064125942874636,99.01108250990035,-2.1786985452837485e-14,2.2065769773784864e-13,1.736462907006182e-16,7.185679187622354e-17,8.825650377149856e-17,4.875299063016899e-15,ACBI1,9.26,36000.0,360,180,360,360,5.17947467923121,2.5e-11
6.0,0.0005,0.0,55.02148124312777,0.020821945815861075,0.02655188058235862,99.02163041334852,-2.1832180543706784e-14,2.2008592497251108e-13,2.0708259882681068e-16,8.32877832634443e-17,1.0620752232943449e-16,4.875873123958794e-15,ACBI1,9.26,36000.0,360,180,360,360,6.25055192527397,2.5e-11
6.0,0.0005,0.0,54.77107621253755,0.023943075864081755,0.03188199794961691,99.01854415339157,-2.1910838855152486e-14,2.190843048501502e-13,2.4537092212922395e-16,9.577230345632703e-17,1.2752799179846764e-16,4.8765620898648296e-15,ACBI1,9.26,36000.0,360,180,360,360,7.543120063354615,2.5e-11
6.0,0.0005,0.0,54.34658248368276,0.027262617573379576,0.038142016675162364,99.00349288697086,-2.2042565980383445e-14,2.1738632993473105e-13,2.880294873128911e-16,1.0905047029351831e-16,1.5256806670064947e-16,4.877391805789225e-15,ACBI1,9.26,36000.0,360,180,360,360,9.102981779915218,2.5e-11
6.0,0.0005,0.0,53.653530886841224,0.03066407061724528,0.04536521037150545,99.0332545309669,-2.2253015470420726e-14,2.1461412354736494e-13,3.3367128829801063e-16,1.2265628246898114e-16,1.814608414860218e-16,4.8783982583361575e-15,ACBI1,9.26,36000.0,360,180,360,360,10.985411419875584,2.5e-11
6.0,0.0005,0.0,52.56950459855874,0.033965796571193065,0.0534778355571968,99.07383902991288,-2.257019245979838e-14,2.1027801839423495e-13,3.7965090177258727e-16,1.3586318628477227e-16,2.1391134222878722e-16,4.87963259384958e-15,ACBI1,9.26,36000.0,360,180,360,360,13.257113655901081,2.5e-11
6.0,0.0005,0.0,50.95421613460637,0.03691619839735446,0.06223246126782215,99.01636606091483,-2.3014490716362168e-14,2.0381686453842548e-13,4.2186839810217124e-16,1.4766479358941784e-16,2.489298450712886e-16,4.881164853741632e-15,ACBI1,9.26,36000.0,360,180,360,360,15.998587196060573,2.5e-11
6.0,0.0005,0.0,48.67441083234287,0.0392088649543614,0.07114690138969389,98.950990794,-2.3581072428103733e-14,1.946976433293715e-13,4.549895737095996e-16,1.5683545981744559e-16,2.8458760555877556e-16,4.8830803113663035e-15,ACBI1,9.26,36000.0,360,180,360,360,19.306977288832496,2.5e-11
6.0,0.0005,0.0,45.643285479020626,0.040527549325475795,0.07948716642738389,99.28586674367938,-2.4218048619648418e-14,1.8257314191608252e-13,4.733210178805939e-16,1.621101973019032e-16,3.179486657095356e-16,4.885459179676713e-15,ACBI1,9.26,36000.0,360,180,360,360,23.29951810515372,2.5e-11
6.0,0.0005,0.0,41.864518875299126,0.04061990625004446,0.0863404277248715,99.39807323293036,-2.481167139094327e-14,1.6745807550119653e-13,4.723249111387815e-16,1.6247962500017786e-16,3.45361710899486e-16,4.888333401872848e-15,ACBI1,9.26,36000.0,360,180,360,360,28.11768697974228,2.5e-11
6.0,0.0005,0.0,37.4614656610337,0.03937936648922846,0.09079894933890165,99.09487512308806,-2.5194585347099984e-14,1.498458626441348e-13,4.502961468086308e-16,1.5751746595691387e-16,3.631957973556066e-16,4.891628853729548e-15,ACBI1,9.26,36000.0,360,180,360,360,33.93221771895326,2.5e-11
6.0,0.0005,0.0,32.67157255095268,0.03689838342881147,0.09221330483766038,99.43126854046747,-2.5186220105764232e-14,1.3068629020381073e-13,4.0935990324748473e-16,1.4759353371524587e-16,3.6885321935064153e-16,4.895123422874406e-15,ACBI1,9.26,36000.0,360,180,360,360,40.94915062380423,2.5e-11
6.0,0.0005,0.0,27.800261397850235,0.03346062307010338,0.0904081890576707,99.32291253514234,-2.4654089870954735e-14,1.1120104559140093e-13,3.551047306047537e-16,1.3384249228041353e-16,3.6163275623068284e-16,4.898460908864679e-15,ACBI1,9.26,36000.0,360,180,360,360,49.417133613238335,2.5e-11
