t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,PROTAC,Kd_T_binary,kon_T_binary,kub,alpha
1.0,0.0005,0.0,90.57889532456828,0.28007263608522354,0.29697907297576887,99.00015412733599,3.6231558129827313e-13,6.5686545276193e-17,1.1202905443408943e-15,1.1879162919030755e-15,4.220026532068408e-15,ACBI1,9.26,36000.0,10,49.417133613238335
1.0,0.0005,0.0,90.57860760547179,0.3288850777693192,0.3528268300240614,99.00101749384388,3.623144304218872e-13,7.794682215550905e-17,1.3155403110772768e-15,1.4113073200962457e-15,4.160539006458267e-15,ACBI1,9.26,36000.0,10,59.63623316594643
1.0,0.0005,0.0,90.57805412400938,0.3840071959198079,0.41771012923716244,99.0015781451309,3.6231221649603756e-13,9.212551851149779e-17,1.5360287836792317e-15,1.6708405169486496e-15,4.088910976096175e-15,ACBI1,9.26,36000.0,10,71.96856730011514
1.0,0.0005,0.0,90.57701232582637,0.4453360219406152,0.49244149377690416,99.0001940017024,3.623080493033055e-13,1.0834471525277018e-16,1.781344087762461e-15,1.9697659751076168e-15,4.0032640228992614e-15,ACBI1,9.26,36000.0,10,86.85113737513521
1.0,0.0005,0.0,90.57509962090468,0.5123504531957326,0.5776299753543278,98.99999438218192,3.6230039848361876e-13,1.266439669481852e-16,2.0494018127829303e-15,2.3105199014173116e-15,3.90180087442645e-15,ACBI1,9.26,36000.0,10,104.81131341546853
1.0,0.0005,0.0,90.57168587140362,0.5839997871109184,0.6735621119662539,99.00412072688833,3.6228674348561447e-13,1.469339197174421e-16,2.3359991484436735e-15,2.6942484478650156e-15,3.78301538137584e-15,ACBI1,9.26,36000.0,10,126.48552168552958
1.0,0.0005,0.0,90.5657839379066,0.6586254169998923,0.7800761426608077,99.00738806883597,3.6226313575162645e-13,1.6894262789188925e-16,2.6345016679995696e-15,3.120304570643231e-15,3.645956003963747e-15,ACBI1,9.26,36000.0,10,152.6417967175232
1.0,0.0005,0.0,90.55593559154941,0.7339514584560225,0.8964495065709658,99.01047375020869,3.6222374236619765e-13,1.9216210186531214e-16,2.9358058338240902e-15,3.585798026283863e-15,3.4905126004899263e-15,ACBI1,9.26,36000.0,10,184.20699693267144
1.0,0.0005,0.0,90.54013056839834,0.807179874127416,1.0213256490822433,99.01723791042156,3.6216052227359336e-13,2.1580880780776772e-16,3.228719496509664e-15,4.085302596328973e-15,3.3176746741813538e-15,ACBI1,9.26,36000.0,10,222.29964825261933
1.0,0.0005,0.0,90.5158167051024,0.8752115051689503,1.1527070455303097,99.01178359022389,3.6206326682040956e-13,2.388177369314572e-16,3.500846020675801e-15,4.6108281821212394e-15,3.1296947588644396e-15,ACBI1,9.26,36000.0,10,268.26957952797244
1.0,0.0005,0.0,90.4800644716535,0.9349840169896028,1.2880345716422081,99.0165294442974,3.6192025788661403e-13,2.5989146877684065e-16,3.739936067958411e-15,5.1521382865688326e-15,2.930092418161317e-15,ACBI1,9.26,36000.0,10,323.74575428176433
1.0,0.0005,0.0,90.42992254189971,0.9838764911133724,1.4243582346751786,99.01557590476823,3.617196901675989e-13,2.7761832958161447e-16,3.93550596445349e-15,5.697432938700715e-15,2.7234582904370583e-15,ACBI1,9.26,36000.0,10,390.6939937054613
1.0,0.0005,0.0,90.36293595267146,1.020093097560718,1.5585830579228381,98.41751216950621,3.614517438106859e-13,2.906543283941804e-16,4.080372390242872e-15,6.234332231691353e-15,2.5150623864067148e-15,ACBI1,9.26,36000.0,10,471.486636345739
1.0,0.0005,0.0,90.27771451536817,1.0429251489242504,1.6877521479393964,99.12403734326828,3.6111085806147273e-13,2.97936067587963e-16,4.1717005956970014e-15,6.7510085917575855e-15,2.310325401612646e-15,ACBI1,9.26,36000.0,10,568.9866029018293
1.0,0.0005,0.0,90.17438152762035,1.0528160641543494,1.8093147295626266,99.4972431149291,3.606975261104814e-13,2.9886919435676317e-16,4.211264256617397e-15,7.237258918250507e-15,2.1142566334285926e-15,ACBI1,9.26,36000.0,10,686.6488450042998
