,t,degradation,Ternary,all_Ternary,Dmax,PROTAC
85,8.535564853556485,59.93657467658864,1.2384909807715028,1.5454576841680727,76.50407702424968,PROTAC 1
86,8.635983263598327,59.575069208331065,1.2310133546798192,1.5361261237913704,76.50407702424968,PROTAC 1
87,8.736401673640167,59.21574794108332,1.2235810007842582,1.52685106676939,76.50407702424968,PROTAC 1
88,8.836820083682008,58.858597635623546,1.2161936435594816,1.5176321691427332,76.50407702424968,PROTAC 1
89,8.93723849372385,58.50360509237086,1.2088510083220345,1.5084690880042242,76.50407702424968,PROTAC 1
90,9.03765690376569,58.1507573028573,1.2015528243694367,1.4993614854167125,76.50407702424968,PROTAC 1
91,9.138075313807532,57.800041185129814,1.194298819495938,1.4903090215683015,76.50407702424968,PROTAC 1
92,9.238493723849372,57.451443879207616,1.187088726115703,1.4813113624145173,76.50407702424968,PROTAC 1
93,9.338912133891213,57.104952506410854,1.1799222762746109,1.472368173452652,76.50407702424968,PROTAC 1
94,9.439330543933055,56.76055430336269,1.172799204427158,1.463479123187516,76.50407702424968,PROTAC 1
95,9.539748953974895,56.41823661559874,1.1657192473036724,1.4546438829656902,76.50407702424968,PROTAC 1
96,9.640167364016737,56.07798677452745,1.1586821413603243,1.4458621237929505,76.50407702424968,PROTAC 1
97,9.740585774058577,55.73979232637972,1.1516876275233041,1.4371335222552932,76.50407702424968,PROTAC 1
98,9.841004184100418,55.403640743141935,1.1447354451984226,1.4284577530425109,76.50407702424968,PROTAC 1
99,9.94142259414226,55.06951968320172,1.1378253376719794,1.4198344956888018,76.50407702424968,PROTAC 1
100,10.0418410041841,54.73741683641129,1.1309570488999172,1.4112634305654115,76.50407702424968,PROTAC 1
101,10.142259414225942,54.4073199461146,1.1241303239640816,1.4027442394500615,76.50407702424968,PROTAC 1
102,10.242677824267782,54.07921691656933,1.117344911297726,1.394276608304484,76.50407702424968,PROTAC 1
103,10.343096234309623,53.75309559607167,1.1106005581916718,1.3858602216658418,76.50407702424968,PROTAC 1
104,10.443514644351465,53.4289440390705,1.1038970162249357,1.3774947694244317,76.50407702424968,PROTAC 1
105,10.543933054393305,53.1067502703182,1.0972340363778983,1.3691799407246392,76.50407702424968,PROTAC 1
106,10.644351464435147,52.786502437904595,1.0906113722027666,1.3609154279218252,76.50407702424968,PROTAC 1
107,10.744769874476987,52.468188774921686,1.0840287790290404,1.3527009255906866,76.50407702424968,PROTAC 1
108,10.845188284518828,52.15179751331532,1.077486012178555,1.3445361282975319,76.50407702424968,PROTAC 1
109,10.94560669456067,51.83731708454923,1.0709828311223957,1.3364207357882811,76.50407702424968,PROTAC 1
110,11.04602510460251,51.52473583912279,1.064518993670016,1.3283544457362157,76.50407702424968,PROTAC 1
