,t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,PROTAC,Kd_T_binary,alpha
0,6.0,0.1,0.0,0.5244288786252951,0.04713296193397405,0.16567779674937821,98.94120994052884,PROTAC 1,10.0,81.17606378959961
0,6.0,0.1,0.0,0.47206404323047135,0.043559819773871196,0.1585887313787885,97.77579672598607,PROTAC 1,10.0,95.58497852172911
0,6.0,0.1,0.0,0.4307230032007518,0.04071951279495476,0.15283935161607912,97.65962348442437,PROTAC 1,10.0,112.55150462432259
0,6.0,0.1,0.0,0.3977488814285332,0.03844247361921106,0.1481472704352445,98.7099633760518,PROTAC 1,10.0,132.52962326417386
0,6.0,0.1,0.0,0.3712123562288665,0.03660309301093588,0.14429697447160147,91.49337852058544,PROTAC 1,10.0,156.0538981790582
0,6.0,0.1,0.0,0.3496905475586928,0.035107220231767954,0.14112224267483753,97.88995437251403,PROTAC 1,10.0,183.75377924629683
0,6.0,0.1,0.0,0.3321186466672096,0.03388347298086713,0.13849358462142533,98.79853204961464,PROTAC 1,10.0,216.3704449635334
0,6.0,0.1,0.0,0.3176888684833417,0.032877134766619395,0.13630917475004417,98.80243015313124,PROTAC 1,10.0,254.77663450375516
0,6.0,0.1,0.0,0.30578062283788393,0.032045825127650314,0.13448824284753583,98.26309243740813,PROTAC 1,10.0,300.0
0,6.0,0.1,0.0,99.99999999922962,0.008242744624905225,0.008246995838443743,2.723854475306098e-09,PROTAC 1,100.0,0.1
0,6.0,0.1,0.0,99.99999999853046,0.00970481649335791,0.009710710392835081,0.0008587491436173877,PROTAC 1,100.0,0.11775020130253673
0,6.0,0.1,0.0,99.99999999701114,0.01142600435617241,0.011434175564390423,1.5318350787829615e-05,PROTAC 1,100.0,0.13865109906787929
0,6.0,0.1,0.0,99.99999999441273,0.013452160046964885,0.013463488305048251,6.0316938588211855e-05,PROTAC 1,100.0,0.16326194826060753
0,6.0,0.1,0.0,99.99999998944814,0.015837196536286183,0.015852901312410433,3.8959790948922546e-08,PROTAC 1,100.0,0.19224127272730873
0,6.0,0.1,0.0,99.99999997993595,0.018644520212599384,0.018666291828375595,7.357058295909269e-08,PROTAC 1,100.0,0.22636448562296468
0,6.0,0.1,0.0,99.9999999592174,0.021948654646180503,0.021978835917795154,0.0006805617519090035,PROTAC 1,100.0,0.26654463749849283
0,6.0,0.1,0.0,99.99999992380296,0.0258372640792129,0.02587910214257386,1.79345571726941e-07,PROTAC 1,100.0,0.3138568472155922
0,6.0,0.1,0.0,99.99999985615744,0.03041328391134887,0.03047127880839432,-0.0005204980074946519,PROTAC 1,100.0,0.369567069398155
0,6.0,0.1,0.0,99.9999997267092,0.03579764128261709,0.0358780289367314,9.030937664356031e-07,PROTAC 1,100.0,0.4351659681642131
0,6.0,0.1,0.0,99.99999947870586,0.042132308600664414,0.04224372958578147,1.8869479090355412e-06,PROTAC 1,100.0,0.5124088035134939
0,6.0,0.1,0.0,99.9999989664092,0.04958377250317429,0.04973819749722889,3.495706746292626e-06,PROTAC 1,100.0,0.6033623976290593
0,6.0,0.1,0.0,99.99999804784765,0.058347584279958495,0.05856159672595498,6.8072781078676314e-06,PROTAC 1,100.0,0.7104604377920294
0,6.0,0.1,0.0,99.99999629128709,0.06865257793019568,0.06894914621865786,1.3138419108216226e-05,PROTAC 1,100.0,0.8365685956749984
0,6.0,0.1,0.0,99.99999292913398,0.08076677458596787,0.08117770502664703,2.5135449677193833e-05,PROTAC 1,100.0,0.9850612054411155
0,6.0,0.1,0.0,99.99998607131636,0.09500323845647288,0.09557256304298706,0.03836347113685967,PROTAC 1,100.0,1.1599115523601087
