,t,Target_deg,relative_Ternary,relative_all_Ternary,alpha,Kd_T_binary
0,24,99.99999999958327,0.027511679342173603,0.027554900616936474,0.4351659681642131,92.6
0,24,99.9999999990616,0.032345987494383124,0.03240575228855682,0.5124088035134939,92.6
0,24,99.99999999780141,0.03836493495627247,0.03844904530875087,0.6033623976290593,92.6
0,24,99.99999999508215,0.045075297415017763,0.04519145670654911,0.7104604377920294,92.6
0,24,99.99999998928392,0.05267669186587011,0.05283541351264736,0.8365685956749984,92.6
0,24,99.99999997550974,0.062139128917304685,0.062360136195948504,0.9850612054411155,92.6
0,24,99.9999999445488,0.07316513063467642,0.0734717557359393,1.1599115523601087,92.6
0,24,99.99999987567023,0.08598052573356763,0.08640433998876738,1.3657981878354069,92.6
0,24,99.99999971938942,0.1011694240489877,0.10175680526511434,1.6082301155625904,92.6
0,24,99.99999937016109,0.11890784925864403,0.11972023874273424,1.8936941984829694,92.6
0,24,99.99999857965592,0.13988376594801874,0.14100965571413676,2.229828730768157,92.6
0,24,99.99999680943674,0.1644271650159866,0.16598539977851534,2.6256278191813047,92.6
0,24,99.99999293700533,0.19270605087042275,0.19485048708420874,3.091682042541392,92.6
0,24,99.99998374722948,0.227591494382476,0.23058975553433259,3.64046182872687,92.6
0,24,99.99996422100646,0.2664122038848916,0.27053148145099043,4.2866511316679,92.6
0,24,99.99991925482192,0.313385512804205,0.31910390614133544,5.047540336676421,92.6
0,24,99.99982193211844,0.3669223986665848,0.3747905247633581,5.943488907263226,92.6
0,24,99.9995987872467,0.4314105503863553,0.44233627345370236,6.99847015269639,92.6
0,24,99.9991071528241,0.5059284019971277,0.5210330305202989,8.240712692897953,92.6
0,24,99.99805817809913,0.5905409139068214,0.6112433837035,9.703455784651036,92.6
0,24,99.99574805157022,0.6901348922914657,0.7186102444408483,11.42583871972924,92.6
0,24,99.99066946660851,0.8067219536218799,0.8459592793068476,13.453948092984373,92.6
0,24,99.979953044883,0.9388329536382186,0.9924910324778711,15.842050962627892,92.6
0,24,99.95657951117477,1.0939642970278691,1.1676734531145931,18.654046898944813,92.6
0,24,99.90809464728886,1.2683242009227957,1.36875201032093,21.96517777457714,92.6
0,24,99.80256891669843,1.4735963689439495,1.6114550413475097,25.864041046024628,92.6
0,24,99.58969142787667,1.6987567979023992,1.885645803281366,30.45496039666474,92.6
