,t,degradation,Ternary,all_Ternary,Dmax,alpha,ktransit_UPS
0,6.0,99.17570937989869,4.004300386441311,4.579973463104387,1.924477459008378,5.047540336676421,250
0,6.0,98.34859260332742,4.536149723834579,5.303883712211758,5.996769536316149,5.943488907263226,250
0,6.0,96.76408535417316,5.074597178537468,6.085572483181199,8.391598352278018,6.99847015269639,250
0,6.0,93.8347568779438,5.565843709555506,6.870784115985333,1.8319904289805122,8.240712692897953,250
0,6.0,88.67631481866098,5.914166765252839,7.545428207046159,21.342071542143593,9.703455784651036,250
0,6.0,80.19602595079166,5.9746707331544675,7.9123505172716655,18.195179604343103,11.42583871972924,250
0,6.0,67.56877300911809,5.582810952986789,7.710017121021857,56.4288661860852,13.453948092984373,250
0,6.0,51.259093691272476,4.6602284875431765,6.743952899115049,72.02038440204124,15.842050962627892,250
0,6.0,33.98650767324271,3.3710663548954853,5.13686167292447,71.40067998216978,18.654046898944813,250
0,6.0,19.867470619397796,2.130292492775977,3.434376702752543,81.02672095226346,21.96517777457714,250
0,6.0,11.21995069584673,1.287957157509981,2.206334767097298,96.80024578658843,25.864041046024628,250
0,6.0,6.895552418981432,0.8390246829813363,1.5330057362523726,81.16042947528481,30.45496039666474,250
0,6.0,4.657253722578022,0.5947554406165996,1.1626105200355015,89.31416975059237,35.86077717368055,250
0,6.0,3.308664502943051,0.43920236614764363,0.9204220379244774,92.18704281683733,42.22613731066302,250
0,6.0,2.433999217481731,0.332766731581168,0.748328414048102,93.07617469324286,49.721361685591305,250
0,6.0,1.8498994102325073,0.2582861328280889,0.6231275533896525,98.66725625702263,58.5470034751461,250
0,6.0,1.450610481908306,0.20529498571022678,0.5306139618548144,95.30317443975446,68.93921444858775,250
0,6.0,1.1714532418678285,0.16697269296875783,0.46123977633557395,96.57574228651758,81.17606378959961,250
0,6.0,0.9720538603848873,0.13881204692376697,0.4084831034568273,95.95131676674315,95.58497852172911,250
0,6.0,0.8267323729250405,0.11779861371426024,0.36783441630940844,99.75272681690981,112.55150462432259,250
0,6.0,0.7188392490330358,0.10189001992289011,0.3361354625912738,98.33354383539135,132.52962326417386,250
0,6.0,0.6373695153199727,0.08968333966965322,0.31114447058215083,100.14653711232712,156.0538981790582,250
0,6.0,0.5749086021814394,0.08020113608732271,0.2912482300494428,97.94968796678654,183.75377924629683,250
0,6.0,0.526366584813083,0.07275261403620178,0.2752698508106966,97.20797369868292,216.3704449635334,250
0,6.0,0.4881855007129814,0.0668425880925188,0.26233915110948314,97.93756659095285,254.77663450375516,250
0,6.0,0.4578346908821535,0.062111126238376724,0.25180432717705015,98.17135319175603,300.0,250
0,6.0,99.99999983983666,0.09533856170763842,0.09588182163126419,4.047825186148657e-07,0.1,500
0,6.0,99.99999963932339,0.11212925362706289,0.11288160297232402,-2.3366384382939032e-07,0.11775020130253673,500
0,6.0,99.99999918850988,0.1318496812489662,0.13289137779260327,4.211245629992533e-06,0.13865109906787929,500
0,6.0,99.9999981761722,0.1550005601321786,0.1564425323895889,4.7958894966448895e-06,0.16326194826060753,500
0,6.0,99.99999590608678,0.18216417686053002,0.18415966008872184,1.3387295949573996e-05,0.19224127272730873,500
0,6.0,99.99999082400946,0.2140161421849428,0.21677667599614867,2.9988804062242025e-05,0.22636448562296468,500
0,6.0,99.9999794687674,0.25133823603473626,0.2551556256846677,8.454963280613015e-05,0.26654463749849283,500
0,6.0,99.99995415459811,0.2950321879027939,0.300308599462819,9.006020366131295e-05,0.3138568472155922,500
0,6.0,99.99989787223241,0.3461340901720004,0.35342320682112666,0.00018965268853143868,0.369567069398155,500
0,6.0,99.99977312670187,0.4058289297876386,0.4158920971377032,0.0001325494572990138,0.4351659681642131,500
0,6.0,99.99949764598219,0.47546441398040984,0.48934701171037576,0.0013894800960034814,0.5124088035134939,500
0,6.0,99.99889188182937,0.5565628018569445,0.5756977691204541,0.0049323446768778645,0.6033623976290593,500
0,6.0,99.99756646663768,0.6508287214821389,0.6771763033489788,0.005490447511002916,0.7104604377920294,500
0,6.0,99.99468325128574,0.7601497044780703,0.7963851133570454,0.019111645168123914,0.8365685956749984,500
0,6.0,99.98845361134802,0.8865838548279551,0.9363475884071364,0.02524573195848978,0.9850612054411155,500
0,6.0,99.97509913554761,1.032324450166483,1.1005531256105694,0.08395922548528612,1.1599115523601087,500
0,6.0,99.94673264811357,1.1996216477406718,1.2929793115612314,0.20930172012209036,1.3657981878354069,500
0,6.0,99.88712063093764,1.3906211413742362,1.518049140792085,0.030604150638446903,1.6082301155625904,500
0,6.0,99.76340971181222,1.6070373253177215,1.7804274463789511,0.6203180941297681,1.8936941984829694,500
0,6.0,99.5104669603707,1.8494941184192593,2.0844464982681687,1.3178491545335902,2.229828730768157,500
0,6.0,99.0024795258043,2.1162107282049636,2.4327230778505866,3.205272710330187,2.6256278191813047,500
0,6.0,98.00465431074853,2.4004619696455607,2.8231224133709256,4.222043389710073,3.091682042541392,500
0,6.0,96.0996122644538,2.6859784642429867,3.2426492904386817,7.792495020144763,3.64046182872687,500
0,6.0,92.59839486605023,2.9396163104160937,3.656550146163802,19.648982517175995,4.2866511316679,500
0,6.0,86.49680426442778,3.1026413353404445,3.9927516001156813,31.409145440030684,5.047540336676421,500
0,6.0,76.64844792594445,3.0886908717157673,4.130409919862229,37.49304072078545,5.943488907263226,500
0,6.0,62.44004025215247,2.8088160794851054,3.921505519753974,58.8860281427586,6.99847015269639,500
0,6.0,45.021543040731785,2.245289756974125,3.2886391607309613,70.24385156246683,8.240712692897953,500
0,6.0,28.008858344053202,1.5370733965648542,2.373350446627965,60.832004303808354,9.703455784651036,500
0,6.0,15.570788784157141,0.9327638773452286,1.5254144431389467,74.87734325798104,11.42583871972924,500
0,6.0,8.783917183116499,0.569552720791049,0.9906991640914387,89.49453793165132,13.453948092984373,500
