t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha
6.0,0.0005,0.0,55.3214932102445,0.013135746379963427,0.015195646821401194,99.00033517047854,2.2128597284097798e-13,1.213385540210305e-16,5.2542985519853714e-17,6.078258728560478e-17,4.874438970471935e-15,ACBI1,9.26,36000.0,360,180,10,360,3.5564803062231287
6.0,0.0005,0.0,55.308031302565475,0.015415944510581986,0.01833276334200713,99.00139680188204,2.2123212521026192e-13,1.4617662284189526e-16,6.166377804232794e-17,7.333105336802853e-17,4.874844137484864e-15,ACBI1,9.26,36000.0,360,180,10,360,4.291934260128776
6.0,0.0005,0.0,55.280276771522985,0.018001795794422147,0.022110478467105687,99.0017018393763,2.2112110708609194e-13,1.758617794450475e-16,7.200718317768859e-17,8.844191386842275e-17,4.875331854769528e-15,ACBI1,9.26,36000.0,360,180,10,360,5.17947467923121
6.0,0.0005,0.0,55.22451879208469,0.020898463460624784,0.02664981761673456,99.00331220624416,2.2089807516833875e-13,2.1109361316961702e-16,8.359385384249914e-17,1.0659927046693823e-16,4.875918400887192e-15,ACBI1,9.26,36000.0,360,180,10,360,6.25055192527397
6.0,0.0005,0.0,55.11588261669169,0.02409309856052757,0.03208249552711889,99.00304063423842,2.2046353046676676e-13,2.524380023663888e-16,9.637239424211028e-17,1.2832998210847557e-16,4.876623357122916e-15,ACBI1,9.26,36000.0,360,180,10,360,7.543120063354615
6.0,0.0005,0.0,54.91162794006753,0.02754460128231869,0.03853794547582456,99.04017428951806,2.1964651176027012e-13,3.000946481697562e-16,1.1017840512927475e-16,1.5415178190329824e-16,4.877470988999524e-15,ACBI1,9.26,36000.0,360,180,10,360,9.102981779915218
6.0,0.0005,0.0,54.54296939875071,0.031169548537118598,0.04611565311633234,99.03575809921904,2.1817187759500282e-13,3.5352821754389693e-16,1.246781941484744e-16,1.8446261246532936e-16,4.878492911547998e-15,ACBI1,9.26,36000.0,360,180,10,360,10.985411419875584
6.0,0.0005,0.0,53.907719575067844,0.03482522270258712,0.05483559475980735,99.0448626094072,2.156308783002714e-13,4.1096914334374936e-16,1.393008908103485e-16,2.1934237903922941e-16,4.879732628873224e-15,ACBI1,9.26,36000.0,360,180,10,360,13.257113655901081
6.0,0.0005,0.0,52.86864761467357,0.038294317055931476,0.06456335969950357,99.03694622624931,2.114745904586943e-13,4.688878168245561e-16,1.5317726822372592e-16,2.582534387980143e-16,4.881251497054797e-15,ACBI1,9.26,36000.0,360,180,10,360,15.998587196060573
6.0,0.0005,0.0,51.26471570866197,0.04128144437422201,0.0749197464460576,99.01536307978327,2.0505886283464788e-13,5.217050876807636e-16,1.6512577749688802e-16,2.9967898578423045e-16,4.883132525700072e-15,ACBI1,9.26,36000.0,360,180,10,360,19.306977288832496
