t,initial_BPD_ec_conc,initial_BPD_ic_conc,percent_degradation,relative_target,relative_naked_ternary,relative_all_ternary,Dmax,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell,Conc_T_base,kprod
6.0,0.001,0.0,90.42888329558583,9.571116704414171,0.5865168699382961,1.0368267723817115,84.84537216305642,-1.2562757124108612e-15,-6.648023760838456e-17,-2.833101880622628e-18,-1.9376738293073548e-18,5.0152651531130266e-15,9.303627466178515e-16,3.073348398476672e-16,5.432972287280169e-16,6.57559192773515e-14,1.665208110305441e-17,1.2011846014337469e-17,ACBI1,9.26,36000.0,360,180,360,0,9.102981779915218,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,94.41498835639479,5.585011643605217,0.3675637024570407,0.7134971533804146,95.23337338081889,-4.0166952446860196e-16,-2.0443098836936837e-17,-9.231484386457202e-19,-6.9231141706239415e-19,2.9265461012491337e-15,6.029427765714829e-16,1.9260338008748933e-16,3.738725083713373e-16,6.552794730039341e-14,1.4858374762065872e-17,1.2934570909215786e-17,ACBI1,9.26,36000.0,360,180,360,0,10.985411419875584,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,96.28717492243301,3.7128250775669898,0.2589758294971121,0.5570528962639175,96.32438957010024,-1.7110192554823955e-16,-8.0617591611443e-18,-2.4229400438472666e-19,-1.2464569087061702e-19,1.945520340645103e-15,4.371055435845847e-16,1.3570333465648675e-16,2.9189571764229276e-16,6.536560555457551e-14,1.4490416365232608e-17,1.522069919312446e-17,ACBI1,9.26,36000.0,360,180,360,0,13.257113655901081,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,97.3673390961306,2.6326609038693998,0.19222557725329611,0.4619541474094309,97.28617604171339,-1.0274364054715273e-16,-4.868606548265619e-18,-1.1311467209275482e-19,1.3376998178320569e-20,1.3795143136275655e-15,3.314921011926447e-16,1.0072620248072717e-16,2.420639732425418e-16,6.525472681663652e-14,1.4457756136623276e-17,1.8324192119017088e-17,ACBI1,9.26,36000.0,360,180,360,0,15.998587196060573,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,98.04819937175438,1.9518006282456282,0.1474394994291523,0.3986117134224699,99.12697299305503,-6.813223455498635e-17,-3.308430585548509e-18,-7.12900290953434e-20,8.078242346555358e-20,1.0227435292007093e-15,2.5752071573572724e-16,7.725829770087581e-17,2.0887253783337424e-16,6.517869191679567e-14,1.446071633787479e-17,2.2115681231328128e-17,ACBI1,9.26,36000.0,360,180,360,0,19.306977288832496,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,98.49131799199559,1.5086820080044123,0.11659716817240111,0.3566228295852987,98.39768423344417,-4.736669341224849e-17,-2.346467489146037e-18,-4.8382399557857436e-20,1.404435589916864e-19,7.905493721943121e-16,2.043082549983424e-16,6.109691612233818e-17,1.868703627026965e-16,6.512645140253705e-14,1.446753265609115e-17,2.6699603101993437e-17,ACBI1,9.26,36000.0,360,180,360,0,23.29951810515372,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,98.78615529562387,1.213844704376132,0.09494945128683246,0.3300324372190434,98.94248259150092,-3.4232730060202843e-17,-1.7172087633927539e-18,-3.4421327855754607e-20,2.011989060629802e-19,6.360546250930933e-16,1.653303001443839e-16,4.975351247430021e-17,1.7293699710277876e-16,6.509102148045808e-14,1.4473964632085796e-17,3.223346863650271e-17,ACBI1,9.26,36000.0,360,180,360,0,28.11768697974228,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,98.98536255300542,1.0146374469945871,0.07948178801035798,0.3151286221215601,98.91659759409328,-2.5600108695419692e-17,-1.2903603205658577e-18,-2.546876152560278e-20,2.6740798767497103e-19,5.316700222251637e-16,1.3631706234753012e-16,4.164845691742758e-17,1.651273979916975e-16,6.506793844570986e-14,1.4478980851313635e-17,3.891109683719045e-17,ACBI1,9.26,36000.0,360,180,360,0,33.93221771895326,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,99.1207070021567,0.8792929978432897,0.0682409204928319,0.30962592572574366,99.15518336761801,-1.9733413399904616e-17,-9.92625430339759e-19,-1.9497688055012994e-20,3.4252174165959174e-19,4.607495308698839e-16,1.1440513850144036e-16,3.575824233824392e-17,1.622439850802897e-16,6.505434290916488e-14,1.4482384611980326e-17,4.696739521864338e-17,ACBI1,9.26,36000.0,360,180,360,0,40.94915062380423,2.49e-11,0.1,5.240000000000001e-15
6.0,0.001,0.0,99.211720169697,0.7882798303029909,0.05994044890695266,0.3121997056771599,99.22875483089373,-1.5621774069013627e-17,-7.801034152833261e-19,-1.5378929089364275e-20,4.298125782860862e-19,4.1305863107876724e-16,9.76386288541108e-17,3.1408795227243195e-17,1.6359264577483178e-16,6.504843651613672e-14,1.4484210863780948e-17,5.66860174182298e-17,ACBI1,9.26,36000.0,360,180,360,0,49.417133613238335,2.49e-11,0.1,5.240000000000001e-15
