t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,PROTAC,Kd_T_binary,alpha
6.0,0.8286427728546842,0.0,86.06151439008538,2.34892481787078,2.852190501554205,98.96987454646043,PROTAC 1,8.54,3.2
6.0,1.0985411419875573,0.0,86.16338153431765,2.309869392808654,2.800784017331693,40.55686623803292,PROTAC 1,8.54,3.2
6.0,1.4563484775012443,0.0,86.44787965882048,2.259496059392708,2.7343627551631164,22.60669886213922,PROTAC 1,8.54,3.2
6.0,1.9306977288832496,0.0,86.9126513290517,2.195470976829833,2.650172076560766,20.148811968834767,PROTAC 1,8.54,3.2
6.0,2.559547922699533,0.0,87.55368669390259,2.1152925736256862,2.5453766483635367,15.65241423390794,PROTAC 1,8.54,3.2
6.0,3.39322177189533,0.0,88.36134337270427,2.0166773143715018,2.417584181993519,4.1743186062165645,PROTAC 1,8.54,3.2
6.0,4.498432668969444,0.0,89.31521940358463,1.8980764937172494,2.265499876695142,29.161302143557975,PROTAC 1,8.54,3.2
6.0,5.963623316594637,0.0,90.382567062133,1.7593595556687613,2.089723054077324,15.777413816451835,PROTAC 1,8.54,3.2
6.0,7.9060432109077015,0.0,91.51872091119945,1.602422307766576,1.89337223660529,40.508955560468905,PROTAC 1,8.54,3.2
6.0,10.481131341546853,0.0,92.67171864650246,1.4314920699917844,1.6822756039984936,78.3811392380891,PROTAC 1,8.54,3.2
6.0,13.89495494373136,0.0,93.78955711850053,1.2528660591554384,1.4644674343560866,7.603134448843285,PROTAC 1,8.54,3.2
6.0,18.420699693267164,0.0,94.82904063158604,1.0740485849873291,1.2490315248495527,76.32357668942124,PROTAC 1,8.54,3.2
6.0,24.420530945486497,0.0,95.75966607459722,0.9024728006097648,1.0445733527140848,44.93991419824509,PROTAC 1,8.54,3.2
6.0,32.3745754281764,0.0,96.56646218155386,0.7443191675988745,0.8579249304738237,1.5556073941554893,PROTAC 1,8.54,3.2
6.0,42.91934260128778,0.0,97.24762317497036,0.6037487006494526,0.6934004932264095,0.35343406794526855,PROTAC 1,8.54,3.2
6.0,56.89866029018293,0.0,97.81081309638526,0.48272636706490996,0.5527378430756562,2.340744147498053,PROTAC 1,8.54,3.2
6.0,75.43120063354607,0.0,98.26929376275967,0.3813127350808852,0.43553723468486233,1.7075136755940412,PROTAC 1,8.54,3.2
6.0,100.0,0.0,98.63779054124352,0.2982292173029068,0.33996104259504745,1.0497051845155148,PROTAC 1,8.54,3.2
6.0,0.0001,0.0,96.91384394057656,0.018568988962162344,0.04060247523394375,7.189129678130158,ACBI1,9.26,26.0
6.0,0.00013257113655901095,0.0,95.93407213953778,0.02434871222921347,0.05325081142282486,8.330098464702795,ACBI1,9.26,26.0
6.0,0.00017575106248547912,0.0,94.65397325946465,0.03181482701464463,0.06959750054086153,11.46143163973533,ACBI1,9.26,26.0
6.0,0.00023299518105153718,0.0,92.98936432691922,0.04137728230322509,0.09054755217399173,14.419388129457777,ACBI1,9.26,26.0
6.0,0.00030888435964774815,0.0,90.83820509469686,0.05348565364850529,0.11709851130614231,17.796277604491596,ACBI1,9.26,26.0
6.0,0.00040949150623804275,0.0,88.08106623022776,0.06858512192341938,0.1502475667585413,23.69427236756384,ACBI1,9.26,26.0
6.0,0.0005428675439323859,0.0,84.58535823835939,0.08703139706508616,0.19081012802831795,28.467262651828285,ACBI1,9.26,26.0
