t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,PROTAC,Kd_T_binary,kon_T_binary,kub,alpha
6.0,0.0005,0.0,12.881598132791645,0.02970618527145241,0.13717110188255266,99.62762602006666,5.1526392531166574e-14,3.764569360948698e-16,1.1882474108580963e-16,5.486844075302106e-16,5.2585007148604304e-15,ACBI1,0.1,36000.0,360,1.484968262254465
6.0,0.0005,0.0,11.441729892094813,0.02688541869040787,0.1334292923708114,99.71413023779525,4.576691956837925e-14,3.384034025846579e-16,1.0754167476163148e-16,5.337171694832456e-16,5.23133020909247e-15,ACBI1,0.1,36000.0,360,1.6297508346206444
6.0,0.0005,0.0,10.160363416150819,0.02428996627166927,0.1297122578536728,99.78094139016127,4.064145366460328e-14,3.0343142130847034e-16,9.715986508667709e-17,5.188490314146912e-16,5.207162242133318e-15,ACBI1,0.1,36000.0,360,1.7886495290574351
6.0,0.0005,0.0,9.027399962481656,0.021925733209373337,0.1261208927257827,99.70683655433564,3.610959984992662e-14,2.716478924138708e-16,8.770293283749335e-17,5.044835709031308e-16,5.185883973706393e-15,ACBI1,0.1,36000.0,360,1.9630406500402715
6.0,0.0005,0.0,8.030930762378588,0.0197901264750977,0.12273750430692437,99.78278943242275,3.2123723049514355e-14,2.4302797405933874e-16,7.91605059003908e-17,4.909500172276975e-16,5.167347585892986e-15,ACBI1,0.1,36000.0,360,2.1544346900318843
6.0,0.0005,0.0,7.158152920221103,0.017874247230438196,0.11962648256257138,99.88017656705705,2.863261168088441e-14,2.174496416270225e-16,7.149698892175278e-17,4.7850593025028555e-16,5.15138583529466e-15,ACBI1,0.1,36000.0,360,2.3644894126454084
6.0,0.0005,0.0,6.3960926308800845,0.01616488398834729,0.11683591237658722,99.84353006638219,2.5584370523520338e-14,1.9472498328695707e-16,6.465953595338916e-17,4.673436495063489e-16,5.137824797876242e-15,ACBI1,0.1,36000.0,360,2.5950242113997373
6.0,0.0005,0.0,5.732137702571037,0.014646202757855498,0.11439972306865039,99.70437098873984,2.2928550810284145e-14,1.746265536930121e-16,5.858481103142199e-17,4.575988922746015e-16,5.126493758397244e-15,ACBI1,0.1,36000.0,360,2.848035868435802
6.0,0.0005,0.0,5.1543990832233755,0.013301096084134637,0.11234004368621635,99.75325037504861,2.0617596332893504e-14,1.5690821013119008e-16,5.3204384336538556e-17,4.493601747448655e-16,5.117232491139377e-15,ACBI1,0.1,36000.0,360,3.1257158496882367
6.0,0.0005,0.0,4.6519301627323895,0.012112199441170592,0.11066952118510938,99.64278171840833,1.8607720650929557e-14,1.4132062120460222e-16,4.844879776468237e-17,4.426780847404375e-16,5.1098963408572515e-15,ACBI1,0.1,36000.0,360,3.4304692863149193
6.0,0.0005,0.0,4.214835157997104,0.011062611620872348,0.10939344393893137,99.86121897964986,1.685934063198842e-14,1.2762208820825314e-16,4.425044648348939e-17,4.3757377575572553e-16,5.104359572753215e-15,ACBI1,0.1,36000.0,360,3.764935806792469
6.0,0.0005,0.0,3.8342961405021554,0.01013636906915985,0.10851158491931778,99.8196851433311,1.5337184562008623e-14,1.1558551921324958e-16,4.05454762766394e-17,4.3404633967727113e-16,5.100517451047996e-15,ACBI1,0.1,36000.0,360,4.132012400115339
6.0,0.0005,0.0,3.502544185154308,0.009318726886329958,0.10801973354259574,99.77099089450762,1.4010176740617233e-14,1.0500242299073833e-16,3.7274907545319835e-17,4.32078934170383e-16,5.098287456326836e-15,ACBI1,0.1,36000.0,360,4.5348785081285845
6.0,0.0005,0.0,3.212795149337355,0.008596295473933821,0.10791092297058814,99.87823488121678,1.285118059734942e-14,9.568471406124792e-17,3.438518189573529e-17,4.3164369188235255e-16,5.097609983844607e-15,ACBI1,0.1,36000.0,360,4.977023564332112
6.0,0.0005,0.0,2.9591656690241983,0.007957074761386712,0.1081763832087144,99.77146033517403,1.1836662676096793e-14,8.746499494067414e-17,3.182829904554685e-17,4.327055328348576e-16,5.0984487922781065e-15,ACBI1,0.1,36000.0,360,5.462277217684343
6.0,0.0005,0.0,2.7365806007722853,0.007390419798776866,0.10880626305761909,99.84325844305692,1.0946322403089141e-14,8.019584322047639e-17,2.956167919510747e-17,4.3522505223047643e-16,5.100791402478824e-15,ACBI1,0.1,36000.0,360,5.994842503189412
6.0,0.0005,0.0,2.5406791003413662,0.006886962318962707,0.10979014832532005,99.84942844551425,1.0162716401365466e-14,7.374848683407348e-17,2.7547849275850826e-17,4.3916059330128025e-16,5.104649530991236e-15,ACBI1,0.1,36000.0,360,6.5793322465756825
6.0,0.0005,0.0,2.3677269034148614,0.0064385148383041615,0.11111754405726795,99.56182536072747,9.470907613659446e-15,6.801123482810661e-17,2.5754059353216646e-17,4.444701762290718e-16,5.110059921900408e-15,ACBI1,0.1,36000.0,360,7.220809018385467
6.0,0.0005,0.0,2.2145311139970016,0.006037952223057761,0.11277808163122464,99.90231470839052,8.858124455988006e-15,6.288766052464342e-17,2.4151808892231045e-17,4.511123265248986e-16,5.117084913218194e-15,ACBI1,0.1,36000.0,360,7.924828983539178
6.0,0.0005,0.0,2.078367279669378,0.005679103221385436,0.11476185205775602,99.76859240280615,8.313469118677512e-15,5.829491984805249e-17,2.2716412885541742e-17,4.590474082310241e-16,5.1258135626105566e-15,ACBI1,0.1,36000.0,360,8.697490026177835
6.0,0.0005,0.0,1.9569131463111635,0.005356640589170911,0.11705964624816921,99.88139850525918,7.827652585244655e-15,5.416209718720939e-17,2.1426562356683646e-17,4.682385849926769e-16,5.136362634288349e-15,ACBI1,0.1,36000.0,360,9.545484566618342
6.0,0.0005,0.0,1.8481911558397555,0.005065979338674104,0.11966322542262468,99.86792705586227,7.392764623359022e-15,5.042868867799788e-17,2.026391735469642e-17,4.786529016904987e-16,5.148877518136658e-15,ACBI1,0.1,36000.0,360,10.476157527896651
6.0,0.0005,0.0,1.7505187686523453,0.00480318363087468,0.12256562815177081,99.88150500519495,7.0020750746093826e-15,4.704322870653413e-17,1.921273452349872e-17,4.902625126070833e-16,5.163532833733067e-15,ACBI1,0.1,36000.0,360,11.497569953977369
6.0,0.0005,0.0,1.66246584022374,0.004564882680552966,0.1257615254042346,99.88141048811904,6.649863360894961e-15,4.3962060312048737e-17,1.8259530722211864e-17,5.030461016169384e-16,5.180532444992096e-15,ACBI1,0.1,36000.0,360,12.61856883066021
6.0,0.0005,0.0,1.582818224672448,0.0043481954132522415,0.12924762599694825,99.90588512848954,6.331272898689792e-15,4.1148241513974173e-17,1.7392781653008966e-17,5.16990503987793e-16,5.200108563583923e-15,ACBI1,0.1,36000.0,360,13.848863713938732
6.0,0.0005,0.0,1.5105467447571281,0.004150663143500686,0.13302312086031712,99.88152876668373,6.0421869790285125e-15,3.857057398226186e-17,1.6602652574002744e-17,5.320924834412684e-16,5.2225195786154745e-15,ACBI1,0.1,36000.0,360,15.199110829529348
6.0,0.0005,0.0,1.4447807367058862,0.003970189461145171,0.13709014347757884,99.85708296992178,5.779122946823545e-15,3.6202739696061657e-17,1.5880757844580687e-17,5.483605739103154e-16,5.248046247997232e-15,ACBI1,0.1,36000.0,360,16.68100537200059
6.0,0.0005,0.0,1.3847854319265962,0.0038049864685115497,0.14145420962161387,99.8794962034726,5.539141727706385e-15,3.402253144823994e-17,1.52199458740462e-17,5.658168384864555e-16,5.276985917190089e-15,ACBI1,0.1,36000.0,360,18.307382802953697
6.0,0.0005,0.0,1.329942526902211,0.0036535266381122755,0.14612458787119856,99.85604930516612,5.319770107608844e-15,3.201116532109209e-17,1.4614106552449103e-17,5.844983514847942e-16,5.309644517360088e-15,ACBI1,0.1,36000.0,360,20.09233002565048
6.0,0.0005,0.0,1.2797333665255368,0.0035144996917446077,0.15111454112278086,99.90052117178307,5.1189334661021475e-15,3.01526657763316e-17,1.4057998766978432e-17,6.044581644911235e-16,5.346326234207868e-15,ACBI1,0.1,36000.0,360,22.051307399030456
6.0,0.0005,0.0,1.233724245087382,0.0033867740738647042,0.15644137192794136,99.88134309024525,4.934896980349528e-15,2.843331699978922e-17,1.3547096295458817e-17,6.257654877117654e-16,5.3873209359247595e-15,ACBI1,0.1,36000.0,360,24.201282647943835
6.0,0.0005,0.0,1.1915534619241095,0.003269362925794023,0.1621262108447652,99.87573299299034,4.766213847696438e-15,2.6841178465075933e-17,1.3077451703176092e-17,6.485048433790608e-16,5.432889718455577e-15,ACBI1,0.1,36000.0,360,26.560877829466868
6.0,0.0005,0.0,1.152919758757737,0.0031613943594004192,0.16819348351331692,99.87903266226841,4.611679035030947e-15,2.5365662934307918e-17,1.2645577437601678e-17,6.727739340532677e-16,5.483249172348176e-15,ACBI1,0.1,36000.0,360,29.150530628251786
6.0,0.0005,0.0,1.1175719303243135,0.0030620861927861966,0.17467002014687355,99.90512653088005,4.470287721297254e-15,2.3997179285125164e-17,1.2248344771144787e-17,6.986800805874942e-16,5.538555282608163e-15,ACBI1,0.1,36000.0,360,31.992671377973846
