t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha
6.0,0.0005,0.0,55.33337852644432,0.0007453112907167582,0.0007510729367424476,99.00000000396017,2.2133351410577727e-13,2.163080497064643e-18,2.9812451628670326e-18,3.0042917469697904e-18,4.872570420584002e-15,ACBI1,9.26,36000.0,360,500,360,360,0.1757510624854792
6.0,0.0005,0.0,55.333378208446646,0.0008980122106477674,0.0009063899075164293,99.00000000540373,2.213335128337866e-13,2.6103898674703964e-18,3.592048842591069e-18,3.625559630065717e-18,4.8725905207606304e-15,ACBI1,9.26,36000.0,360,500,360,360,0.21209508879201905
6.0,0.0005,0.0,55.33337753792167,0.0010816479503350724,0.0010938255596904705,99.00000003106426,2.2133351015168668e-13,3.1501986402008513e-18,4.32659180134029e-18,4.375302238761882e-18,4.872614777665542e-15,ACBI1,9.26,36000.0,360,500,360,360,0.2559547922699536
6.0,0.0005,0.0,55.33337612578024,0.0013023277417748482,0.0013200219168170936,99.00000020265784,2.21333504503121e-13,3.801633503199604e-18,5.209310967099393e-18,5.280087667268375e-18,4.8726440509153495e-15,ACBI1,9.26,36000.0,360,500,360,360,0.3088843596477481
6.0,0.0005,0.0,55.3333731561365,0.0015672967930578723,0.0015929945636837155,99.00000006501911,2.21333492624546e-13,4.587774492330968e-18,6.26918717223149e-18,6.3719782547348625e-18,4.872679377865859e-15,ACBI1,9.26,36000.0,360,500,360,360,0.372759372031494
6.0,0.0005,0.0,55.333366922227775,0.001885116005035606,0.0019224166860141484,99.00000040316324,2.213334676889111e-13,5.536470297590298e-18,7.540464020142425e-18,7.689666744056594e-18,4.872722010314975e-15,ACBI1,9.26,36000.0,360,500,360,360,0.44984326689694454
6.0,0.0005,0.0,55.33335386395793,0.0022658557726833043,0.002319961814801214,99.00000134874377,2.2133341545583172e-13,6.6813196884702985e-18,9.063423090733218e-18,9.279847259204857e-18,4.872773458728789e-15,ACBI1,9.26,36000.0,360,500,360,360,0.5428675439323859
6.0,0.0005,0.0,55.33332658136617,0.0027212977253601276,0.0027997173527681656,99.00000222544824,2.213333063254647e-13,8.062850695552974e-18,1.088519090144051e-17,1.1198869411072662e-17,4.8728355454759306e-15,ACBI1,9.26,36000.0,360,500,360,360,0.6551285568595507
6.0,0.0005,0.0,55.33326975817429,0.0032651338349242716,0.003378683359651489,99.00000284069978,2.2133307903269717e-13,9.72993281312224e-18,1.3060535339697086e-17,1.3514733438605958e-17,4.872910468788821e-15,ACBI1,9.26,36000.0,360,500,360,360,0.7906043210907697
6.0,0.0005,0.0,55.333151855938624,0.003913146133669325,0.0040773738220429385,99.00000952413215,2.2133260742375451e-13,1.1741458813721065e-17,1.56525845346773e-17,1.6309495288171753e-17,4.873000879395795e-15,ACBI1,9.26,36000.0,360,500,360,360,0.9540954763499939
6.0,0.0005,0.0,55.3329083369337,0.004683341877111441,0.004920540595414477,99.000017295481,2.213316333477348e-13,1.4168328235145e-17,1.8733367508445766e-17,1.968216238165791e-17,4.873109971926161e-15,ACBI1,9.26,36000.0,360,500,360,360,1.151395399326447
6.0,0.0005,0.0,55.33240813383319,0.005596007832281723,0.005938042928280813,99.0000231848018,2.2132963253533277e-13,1.7095746999312022e-17,2.238403132912689e-17,2.375217171312325e-17,4.873241593208218e-15,ACBI1,9.26,36000.0,360,500,360,360,1.3894954943731375
6.0,0.0005,0.0,55.331387503820906,0.006673632792946212,0.0071658867578460565,99.0000495128977,2.2132555001528361e-13,2.0625812829360374e-17,2.6694531171784845e-17,2.8663547031384226e-17,4.873400369345483e-15,ACBI1,9.26,36000.0,360,500,360,360,1.6768329368110073
6.0,0.0005,0.0,55.32932161226386,0.007940628331970215,0.008647454889723735,99.00021516101113,2.2131728644905543e-13,2.4880257517077098e-17,3.1762513327880863e-17,3.458981955889494e-17,4.873591852900028e-15,ACBI1,9.26,36000.0,360,500,360,360,2.0235896477251565
6.0,0.0005,0.0,55.32518008868139,0.009422752074409037,0.01043493510508103,99.0003365044817,2.2130072035472558e-13,3.0003016643704904e-17,3.769100829763615e-17,4.173974042032412e-17,4.87382269075498e-15,ACBI1,9.26,36000.0,360,500,360,360,2.442053094548651
6.0,0.0005,0.0,55.31697292079911,0.011146101055393175,0.012590913850824259,99.00027839582712,2.2126789168319644e-13,3.616191354236959e-17,4.45844042215727e-17,5.0363655403297035e-17,4.874100813129812e-15,ACBI1,9.26,36000.0,360,500,360,360,2.9470517025518097
6.0,0.0005,0.0,55.300932032910445,0.013135486742480327,0.015190009320922349,99.00142119722608,2.212037281316418e-13,4.3548050443712276e-17,5.254194696992131e-17,6.07600372836894e-17,4.87443564735369e-15,ACBI1,9.26,36000.0,360,500,360,360,3.5564803062231287
6.0,0.0005,0.0,55.27009130225849,0.01541191497232732,0.0183202144810494,99.00270497323807,2.2108036520903399e-13,5.2370326992713317e-17,6.164765988930928e-17,7.328085792419761e-17,4.8748383726672875e-15,ACBI1,9.26,36000.0,360,500,360,360,4.291934260128776
6.0,0.0005,0.0,55.211939407094114,0.01798875965213342,0.022083214969467652,99.00038014949732,2.2084775762837644e-13,6.284069763954322e-17,7.195503860853368e-17,8.833285987787061e-17,4.87532226702424e-15,ACBI1,9.26,36000.0,360,500,360,360,5.17947467923121
6.0,0.0005,0.0,55.10477855859279,0.020866043159595362,0.026592207692231414,99.00003766423812,2.2041911423437116e-13,7.514337078227695e-17,8.346417263838145e-17,1.0636883076892567e-16,4.87590327333669e-15,ACBI1,9.26,36000.0,360,500,360,360,6.25055192527397
6.0,0.0005,0.0,54.91254600401516,0.024022090520228297,0.0319645529620458,99.01871874182322,2.1965018401606067e-13,8.937880072469957e-17,9.608836208091319e-17,1.278582118481832e-16,4.876601049382914e-15,ACBI1,9.26,36000.0,360,500,360,360,7.543120063354615
6.0,0.0005,0.0,54.578346120694185,0.027401934751067725,0.038305009236065994,99.00699468713428,2.1831338448277674e-13,1.0547307214630075e-16,1.0960773900427092e-16,1.5322003694426398e-16,4.877440944236196e-15,ACBI1,9.26,36000.0,360,500,360,360,9.102981779915218
6.0,0.0005,0.0,54.01804228588878,0.030902688385383452,0.04567396142469864,99.02007375891553,2.160721691435551e-13,1.2304943541871162e-16,1.236107535415338e-16,1.8269584569879458e-16,4.8784574192301495e-15,ACBI1,9.26,36000.0,360,500,360,360,10.985411419875584
