,t,degradation,Ternary,all_Ternary,PS_cell
6,3.724137931034483,7.922667785191375,0.58788454427839,1.123800347061938,2.49e-11
7,4.344827586206897,7.542046846409028,0.5595990900760471,1.0696349831077108,2.49e-11
8,4.9655172413793105,7.381433101652926,0.5476631692040584,1.0467782345824719,2.49e-11
9,5.586206896551724,7.313657813890423,0.542626473199883,1.0371331894836344,2.49e-11
10,6.206896551724138,7.28505825969032,0.5405011053093254,1.0330632060610854,2.49e-11
11,6.827586206896552,7.272989939159065,0.5396042510161531,1.0313457706334228,2.49e-11
12,7.448275862068966,7.267897398352339,0.5392258000149007,1.030621054073983,2.49e-11
13,8.068965517241379,7.2657484694346035,0.5390661028422639,1.030315241207433,2.49e-11
14,8.689655172413794,7.264841673920292,0.5389987145337461,1.030186195642867,2.49e-11
15,9.310344827586206,7.264459028087976,0.5389702782927444,1.0301317415267879,2.49e-11
16,9.931034482758621,7.264297560808738,0.5389582788872691,1.0301087632077268,2.49e-11
17,10.551724137931036,7.264229425564646,0.5389532154315235,1.030099066918863,2.49e-11
18,11.172413793103448,7.264200674137792,0.5389510787755238,1.0300949753192095,2.49e-11
19,11.793103448275863,7.264188541731202,0.5389501771583802,1.0300932487631365,2.49e-11
20,12.413793103448276,7.264183422151535,0.5389497966979365,1.030092520198585,2.49e-11
21,13.03448275862069,7.264181261813056,0.5389496361528533,1.0300922127620076,2.49e-11
22,13.655172413793103,7.26418035020245,0.5389495684067097,1.0300920830312057,2.49e-11
23,14.275862068965518,7.264179965524931,0.5389495398194842,1.030092028287961,2.49e-11
24,14.896551724137932,7.264179803200395,0.538949527756371,1.0300920051876443,2.49e-11
25,15.517241379310345,7.264179734703307,0.538949522666025,1.0300919954398617,2.49e-11
26,16.137931034482758,7.264179705799021,0.5389495205180086,1.0300919913265076,2.49e-11
27,16.758620689655174,7.2641796936021725,0.5389495196116026,1.0300919895907812,2.49e-11
28,17.379310344827587,7.264179688455165,0.5389495192290961,1.0300919888582978,2.49e-11
29,18.0,7.264179686283254,0.5389495190676767,1.030091988549188,2.49e-11
0,0.0,100.0,0.0,0.0,2.4899999999999997e-10
1,0.6206896551724138,47.79098640558276,3.5491890999247975,6.794554004511036,2.4899999999999997e-10
2,1.2413793103448276,24.370185149561667,1.8099074403269761,3.4639170341135728,2.4899999999999997e-10
3,1.8620689655172415,14.483347401519273,1.0753905675273545,2.057351999486358,2.4899999999999997e-10
4,2.4827586206896552,10.310651968773383,0.7653379236370537,1.463615485495299,2.4899999999999997e-10
5,3.103448275862069,8.549748294218581,0.6344843024629163,1.2130367678298257,2.4899999999999997e-10
6,3.724137931034483,7.806665169003037,0.5792637441814305,1.1072919046771157,2.4899999999999997e-10
7,4.344827586206897,7.4930971363126115,0.5559613381144209,1.0626688523901828,2.4899999999999997e-10
8,4.9655172413793105,7.360777835470558,0.5461281456121481,1.0438387336958532,2.4899999999999997e-10
9,5.586206896551724,7.304941945157474,0.5419787410049453,1.035892811563515,2.4899999999999997e-10
10,6.206896551724138,7.28138044134533,0.5402277828579534,1.03253980590115,2.4899999999999997e-10
11,6.827586206896552,7.2714380173506274,0.5394889176505816,1.0311249124429107,2.4899999999999997e-10
12,7.448275862068966,7.267242537146175,0.5391771330307681,1.0305278589954927,2.4899999999999997e-10
13,8.068965517241379,7.265472139065661,0.5390455669392442,1.030275915879838,2.4899999999999997e-10
14,8.689655172413794,7.264725071353345,0.5389900490401288,1.0301696016136215,2.4899999999999997e-10
15,9.310344827586206,7.264409825548247,0.5389666217326148,1.0301247393791424,2.4899999999999997e-10
16,9.931034482758621,7.264276798920593,0.5389567359365801,1.0301058085267827,2.4899999999999997e-10
17,10.551724137931036,7.264220664713071,0.5389525643557626,1.0300978201381608,2.4899999999999997e-10
18,11.172413793103448,7.264196977339616,0.5389508040424484,1.0300944492177675,2.4899999999999997e-10
19,11.793103448275863,7.264186981801296,0.538950061229859,1.0300930267652495,2.4899999999999997e-10
20,12.413793103448276,7.264182763911195,0.5389497477798216,1.0300924265226026,2.4899999999999997e-10
21,13.03448275862069,7.264180984056728,0.538949615510977,1.0300921732337465,2.4899999999999997e-10
22,13.655172413793103,7.264180232997804,0.5389495596964711,1.0300920663514914,2.4899999999999997e-10
23,14.275862068965518,7.264179916064167,0.5389495361437326,1.0300920212490625,2.4899999999999997e-10
24,14.896551724137932,7.264179782326928,0.5389495262051281,1.0300920022170843,2.4899999999999997e-10
25,15.517241379310345,7.264179725893827,0.5389495220113331,1.0300919941861562,2.4899999999999997e-10
26,16.137931034482758,7.264179702081224,0.5389495202417095,1.0300919907974078,2.4899999999999997e-10
27,16.758620689655174,7.264179692032635,0.5389495194949374,1.0300919893673721,2.4899999999999997e-10
28,17.379310344827587,7.2641796877930505,0.538949519179859,1.0300919887640128,2.4899999999999997e-10
29,18.0,7.264179686005212,0.5389495190469854,1.0300919885095645,2.4899999999999997e-10
0,0.0,100.0,0.0,0.0,2.49e-09
1,0.6206896551724138,47.00913525485447,3.49113640189724,6.683386076006757,2.49e-09
2,1.2413793103448276,24.040107770455514,1.7853866134253198,3.416960823329406,2.49e-09
3,1.8620689655172415,14.344035966534047,1.0650391597287756,2.0375295326696885,2.49e-09
4,2.4827586206896552,10.251861493240373,0.7609691554209723,1.4552494937297806,2.49e-09
5,3.103448275862069,8.524939499464415,0.6326406701338358,1.2095062955475653,2.49e-09
6,3.724137931034483,7.79619640984318,0.5784857598142185,1.1058020998134837,2.49e-09
7,4.344827586206897,7.4886795912562825,0.5556330466367706,1.0620401890478468,2.49e-09
8,4.9655172413793105,7.358913752725166,0.5459896152223355,1.043573454257483,2.49e-09
9,5.586206896551724,7.30415535479181,0.5419202850150036,1.0357808709830214,2.49e-09
10,6.206896551724138,7.281048522602088,0.5402031160815701,1.0324925701383947,2.49e-09
11,6.827586206896552,7.271297957098614,0.5394785089715488,1.0311049802926306,2.49e-09
12,7.448275862068966,7.26718343572866,0.539172740865736,1.0305194481978082,2.49e-09
13,8.068965517241379,7.265447199963273,0.5390437135715537,1.0302723667644091,2.49e-09
14,8.689655172413794,7.2647145477642905,0.5389892669718758,1.0301681039882353,2.49e-09
15,9.310344827586206,7.26440538489502,0.5389662917222051,1.030124107424111,2.49e-09
16,9.931034482758621,7.264274925092427,0.5389565966816633,1.0301055418599059,2.49e-09
17,10.551724137931036,7.264219874011156,0.5389525055941687,1.030097707612362,2.49e-09
18,11.172413793103448,7.264196643686029,0.5389507792467381,1.0300944017351017,2.49e-09
19,11.793103448275863,7.26418684100907,0.5389500507667827,1.0300930067289311,2.49e-09
20,12.413793103448276,7.264182704401187,0.5389497433572932,1.0300924180536604,2.49e-09
21,13.03448275862069,7.264180958888286,0.5389496136405661,1.0300921696519945,2.49e-09
22,13.655172413793103,7.264180222363173,0.5389495589061518,1.030092064838066,2.49e-09
23,14.275862068965518,7.264179911574425,0.5389495358100757,1.0300920206101245,2.49e-09
24,14.896551724137932,7.2641797804322765,0.5389495260643263,1.0300920019474553,2.49e-09
25,15.517241379310345,7.26417972509492,0.5389495219519638,1.0300919940724669,2.49e-09
26,16.137931034482758,7.264179701744093,0.5389495202166559,1.0300919907494308,2.49e-09
27,16.758620689655174,7.264179691890352,0.5389495194843558,1.0300919893471092,2.49e-09
28,17.379310344827587,7.264179687734909,0.5389495191755224,1.030091988755715,2.49e-09
29,18.0,7.264179685985049,0.5389495190454724,1.0300919885066786,2.49e-09
