,t,degradation,Ternary,all_Ternary,Dmax,PROTAC,initial_BPD_ec_conc
0,6,99.83826645861362,0.9830240474412012,1.0890495555692152,0.22103496373243603,PROTAC 1,24.420530945486497
0,6,99.86179674567386,0.800817872772043,0.8871913646632146,0.6872793512857855,PROTAC 1,32.3745754281764
0,6,99.8835004314017,0.6428516104844044,0.7121874677635862,0.1361636186029913,PROTAC 1,42.91934260128778
0,6,99.90298317446553,0.509592334414134,0.5645553313271517,0.06826557394975508,PROTAC 1,56.89866029018293
0,6,99.92006458241542,0.3997411149489472,0.4428559410804723,0.9856728834265027,PROTAC 1,75.43120063354607
0,6,99.93474364762474,0.3108956748898478,0.3444279285948996,0.07201834709912314,PROTAC 1,100.0
0,6,98.44606522129024,0.02095811328292124,0.04005726985641575,3.5223594158478644,ACBI1,0.0001
0,6,97.94727635869151,0.027626948895271446,0.05280347301066807,4.685232128214878,ACBI1,0.00013257113655901095
0,6,97.29150653505947,0.036351058080884006,0.06947797453908115,5.75957418548737,ACBI1,0.00017575106248547912
0,6,96.4316668522503,0.04771452885922929,0.09119718412882359,7.705631834463844,ACBI1,0.00023299518105153718
0,6,95.30825046798242,0.06243112710546813,0.11932539466527602,9.962763460686919,ACBI1,0.00030888435964774815
0,6,93.84731825155413,0.08134579740573934,0.15547766968266288,13.330891449852889,ACBI1,0.00040949150623804275
0,6,91.95914115961618,0.10541207749144454,0.2014767038726053,16.547017839289413,ACBI1,0.0005428675439323859
0,6,89.53843857107707,0.13562624607565896,0.2592269992961542,20.9369463823463,ACBI1,0.0007196856730011522
0,6,86.4677078967643,0.1728918783444,0.33045603875550855,25.137375445654285,ACBI1,0.0009540954763499944
0,6,82.62577290170033,0.2177850727072073,0.41626560882535607,30.7665545300871,ACBI1,0.0012648552168552957
0,6,77.90411499869626,0.27020023571579493,0.5164547972133284,36.56141092723723,ACBI1,0.0016768329368110084
0,6,72.23316987405877,0.32889492873588067,0.6286499637854932,43.68314968814151,ACBI1,0.0022229964825261957
0,6,65.61850584008268,0.39103831621474455,0.7474413908663612,49.99565593801515,ACBI1,0.0029470517025518097
0,6,58.18143558927211,0.45200261385995616,0.8639840802634724,57.01558300941028,ACBI1,0.003906939937054617
0,6,50.19001532935189,0.505762493085403,0.9667602791986504,62.78187684083845,ACBI1,0.005179474679231213
0,6,42.057927377368664,0.5462223803038677,1.0441156191480163,69.5172175363222,ACBI1,0.006866488450042998
0,6,34.289278029714154,0.569361437145417,1.0883590367346592,73.87808355077252,ACBI1,0.009102981779915217
0,6,27.367592824412412,0.5752775671208127,1.0996714551987201,78.66265993006583,ACBI1,0.012067926406393288
0,6,21.625991708274327,0.5686335827111976,1.0869619006512057,81.69738352626558,ACBI1,0.015998587196060572
0,6,17.165228336027795,0.5566572102240128,1.0640473877299497,84.65347591009763,ACBI1,0.021209508879201904
0,6,13.868371937364715,0.5457616182537218,1.0431927551686286,87.19885411512931,ACBI1,0.028117686979742307
0,6,11.496178339750136,0.5391818299973467,1.030588999111811,89.0178909447131,ACBI1,0.03727593720314938
0,6,9.795159687470576,0.5370026795991291,1.0264028927719508,90.28672187833297,ACBI1,0.04941713361323833
0,6,8.56150766377423,0.5377400980908669,1.0277985756158485,91.56717689706345,ACBI1,0.0655128556859551
0,6,7.65388273315094,0.5398210837882519,1.0317679177555943,92.39994402347368,ACBI1,0.08685113737513521
0,6,6.979766993215082,0.542207630497171,1.0363249105363144,93.03997151293542,ACBI1,0.1151395399326447
0,6,6.478113211522595,0.5443904855334086,1.040494645227922,93.53809030755565,ACBI1,0.15264179671752334
0,6,6.107121259555472,0.5461879733303815,1.0439289246550159,93.90243082353254,ACBI1,0.20235896477251575
0,6,5.8372406322160835,0.54757430854693,1.046577942066116,94.16559706513507,ACBI1,0.2682695795279725
0,6,5.6473884596376145,0.5485817722923377,1.0485031271869008,94.35438813483033,ACBI1,0.35564803062231287
0,6,5.5228235949777185,0.5492545656120584,1.049788826129983,94.47728770266035,ACBI1,0.47148663634573945
0,6,5.453877254838473,0.5496295329789401,1.0505053920282832,94.54658467999883,ACBI1,0.6250551925273969
0,6,5.435192739964735,0.5497294368528787,1.0506963002378487,94.57199525305661,ACBI1,0.8286427728546842
0,6,5.465310717680367,0.5495599744296977,1.0503724290209526,94.55300131726126,ACBI1,1.0985411419875573
0,6,5.546558877606401,0.5491092846056681,1.0495111138576552,94.41444552318009,ACBI1,1.4563484775012443
0,6,5.685218768934091,0.5483479677882132,1.0480561882511812,94.31771893511254,ACBI1,1.9306977288832496
0,6,5.891984563693365,0.5472303085173862,1.04592033166547,94.10613573232355,ACBI1,2.559547922699533
0,6,6.182754046407136,0.5456982125802968,1.0429926156623546,93.82353238431448,ACBI1,3.39322177189533
0,6,6.579922405420701,0.5436979879413921,1.0391706388077533,93.25833131788221,ACBI1,4.498432668969444
0,6,7.114336005834536,0.5412102547273084,1.0344177610526777,90.63291147624751,ACBI1,5.963623316594637
0,6,7.828764721485762,0.5383311483801797,1.0289184659883286,92.7606919639763,ACBI1,7.9060432109077015
0,6,8.783508473424858,0.5353765178548741,1.0232775466034165,91.44176999723325,ACBI1,10.481131341546853
0,6,10.067406915179976,0.5330894160672329,1.0189167650029416,89.7628461595784,ACBI1,13.89495494373136
0,6,11.808520770323778,0.5324586696670022,1.017726919360507,88.41856588850831,ACBI1,18.420699693267164
0,6,14.196046285259492,0.5347598637939766,1.022146094912318,86.47288768038777,ACBI1,24.420530945486497
0,6,17.454913148440728,0.5396915953027622,1.0315944486188673,82.86274278401906,ACBI1,32.3745754281764
0,6,21.796886338179096,0.5445314460928986,1.0408626567365447,82.22034055449193,ACBI1,42.91934260128778
0,6,27.35007355142743,0.544596113736424,1.0409946440604276,69.07481777165347,ACBI1,56.89866029018293
0,6,34.002079722417996,0.5334939682581419,1.0197712571799582,71.26344990512321,ACBI1,75.43120063354607
0,6,41.539147591082276,0.5087360602343266,0.9724387077423053,59.3477946151912,ACBI1,100.0
