t,initial_BPD_ec_conc,initial_BPD_ic_conc,percent_degradation,relative_target,relative_naked_ternary,relative_all_ternary,Dmax,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell
6.0,0.001,0.0,98.0457535714405,1.954246428559497,0.042667752804885876,0.9954765444742809,98.0191533306445,-6.852421396861407e-19,-8.401201843853976e-21,-5.428262196823881e-21,-1.630593173566794e-19,1.0240251285651764e-14,6.021357379830671e-16,2.23579024697602e-16,5.2162970930452316e-15,1.3155261298731258e-14,1.4271294475992923e-16,4.33878618721266e-15,ACBI1,0.1,36000.0,360,180,360,0,7.543120063354615,2.49e-11
6.0,0.001,0.0,97.90557215482843,2.09442784517157,0.041743184397571846,1.163242422819792,97.88796129350706,-1.9157641137397827e-18,-2.2109784177875116e-20,-1.2445903132266477e-20,-4.395017358724027e-19,1.0974801908699026e-14,5.818972773689276e-16,2.187342862432765e-16,6.09539029557571e-15,1.4020090743205987e-14,1.425123210367884e-16,5.227828358625227e-15,ACBI1,0.1,36000.0,360,180,360,0,9.102981779915218,2.49e-11
6.0,0.001,0.0,97.72521446037447,2.2747855396255323,0.04098450842696211,1.3655923339907166,97.85045474998864,-4.835375962801027e-18,-4.7801465474074875e-20,-1.9245775272466678e-20,-7.354555746702975e-19,1.191987622763779e-14,5.650219382413124e-16,2.1475882415728142e-16,7.155703830111354e-15,1.5063027457004618e-14,1.4225791042555291e-16,6.2964236036939335e-15,ACBI1,0.1,36000.0,360,180,360,0,10.985411419875584,2.49e-11
6.0,0.001,0.0,97.49888765674032,2.5011123432596745,0.040360299091625126,1.6091232535335727,97.55084142818701,-7.641701524821293e-18,-5.748356202480444e-20,2.1461434823682385e-20,1.760595908416862e-18,1.3105828678680692e-14,5.508350960556423e-16,2.1148796724011565e-16,8.43180584851592e-15,1.6316023923827603e-14,1.4193627453793552e-16,7.579459661743793e-15,ACBI1,0.1,36000.0,360,180,360,0,13.257113655901081,2.49e-11
6.0,0.001,0.0,97.22003777685705,2.779962223142951,0.039838639412914593,1.9009465326296455,97.4174318223552,1.0346769494574994e-17,1.357663202912649e-19,2.9626351660969036e-19,2.1376663108614643e-17,1.4567002049269063e-14,5.386051136506863e-16,2.0875447052367247e-16,9.960959830979342e-15,1.7811764080549034e-14,1.4148042507105155e-16,9.1146245828456e-15,ACBI1,0.1,36000.0,360,180,360,0,15.998587196060573,2.49e-11
6.0,0.001,0.0,96.88475336625437,3.1152466337456217,0.03936180946037843,2.246877314627285,96.90770321447967,1.2204708908085451e-16,1.06291484734154e-18,1.124290450431218e-18,9.196645914534695e-17,1.6323892360827057e-14,5.271059823446965e-16,2.0625588157238295e-16,1.1773637128646974e-14,1.9584383362243334e-14,1.4068212131899007e-16,1.0933407027005863e-14,ACBI1,0.1,36000.0,360,180,360,0,19.306977288832496,2.49e-11
6.0,0.001,0.0,96.49683451546619,3.5031654845338136,0.03881874332995746,2.6513883628059958,96.44499420507208,4.196619410935596e-16,3.2971114974800645e-18,2.22169962846619e-18,2.0331121657425666e-16,1.8356587138957182e-14,5.14573557542864e-16,2.034102150489771e-16,1.3893275021103416e-14,2.1715616840472845e-14,1.392907759583631e-16,1.306121287605545e-14,ACBI1,0.1,36000.0,360,180,360,0,23.29951810515372,2.49e-11
6.0,0.001,0.0,96.05467853666612,3.945321463333877,0.0381103201523403,3.1360940744087156,95.7275334295329,6.987230374257162e-16,5.954037957879808e-18,1.1201028497476825e-18,5.0668139347561576e-17,2.0673484467869515e-14,5.010926601421859e-16,1.996980775982632e-16,1.6433132949901668e-14,2.4522283492988697e-14,1.3787202365496476e-16,1.5612338241456466e-14,ACBI1,0.1,36000.0,360,180,360,0,28.11768697974228,2.49e-11
6.0,0.001,0.0,95.48082428549878,4.519175714501211,0.0373632474956571,3.7995534863656775,95.45933478136376,-1.2763793083635725e-16,5.947147242865413e-18,-7.130746904331962e-18,-1.3099228142683205e-15,2.3680480743986343e-14,4.934320300936151e-16,1.957834168772432e-16,1.990966026855615e-14,2.8943789683831333e-14,1.3933219404566037e-16,1.9098322303581742e-14,ACBI1,0.1,36000.0,360,180,360,0,33.93221771895326,2.49e-11
6.0,0.001,0.0,94.49322449529781,5.506775504702189,0.03698495470187275,4.9135349853814185,94.81944084948007,-4.344940437262679e-15,1.4473812853775836e-18,-2.810451707780813e-17,-5.720310411764776e-15,2.8855503644639466e-14,5.06670724568449e-16,1.938011626378132e-16,2.5746923323398633e-14,3.701246241179919e-14,1.4960941686888543e-16,2.4930994084107862e-14,ACBI1,0.1,36000.0,360,180,360,0,40.94915062380423,2.49e-11
