t,initial_BPD_ec_conc,initial_BPD_ic_conc,percent_degradation,relative_target,relative_naked_ternary,relative_all_ternary,Dmax,degradation_rate,naked_ternary_rate,poly_ub_target_rate,poly_ub_ternary_rate,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,total_poly_ub_target,total_poly_ub_ternary,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha,PS_cell
6.0,0.0016768329368110084,0.0,11.325202564005863,88.67479743599414,0.2388189098530239,0.33306395051511367,12.562886948877383,-1.285093514433071e-15,4.037371944836024e-18,2.1614234605550612e-19,4.482886629507274e-20,4.646559385646093e-14,9.210304448465029e-16,1.2514110876298452e-16,1.7452551006991957e-16,5.96831538538829e-15,5.218150357743525e-18,1.053796066563781e-18,PROTAC 1,8.54,36000.0,1000,180,360,0,3.2,1.24e-12
6.0,0.0022229964825261957,0.0,14.93918623271243,85.06081376728757,0.29572169097222717,0.41493006281302536,50.76899548488145,-1.648057848069817e-15,2.9709680450259226e-18,2.0391660184356812e-19,4.3296677286405596e-20,4.4571866414058686e-14,1.1451884301662975e-15,1.5495816606944706e-16,2.1742335291402527e-16,7.793569095767705e-15,6.752420018511194e-18,1.371253654417558e-18,PROTAC 1,8.54,36000.0,1000,180,360,0,3.2,1.24e-12
6.0,0.0029470517025518097,0.0,19.611370467742546,80.38862953225745,0.35761553495766923,0.505634632664424,18.61347166007594,-2.076528291576388e-15,3.7188195986112072e-19,1.2769405538233995e-19,2.899381172570956e-20,4.2123641874902907e-14,1.392040818571255e-15,1.873905403178187e-16,2.6495254751615817e-16,1.0122695165712433e-14,8.622678066908721e-18,1.7633203295363995e-18,PROTAC 1,8.54,36000.0,1000,180,360,0,3.2,1.24e-12
6.0,0.003906939937054617,0.0,25.53388630206237,74.46611369793763,0.4189871114772512,0.5980685393770032,24.711883728598096,-2.5460280318755965e-15,-4.4205263627178545e-18,-6.399453405803978e-20,-9.086015282859728e-21,3.902024357771932e-14,1.6412974358758266e-15,2.1954924641407964e-16,3.133879146335497e-16,1.3051828016470102e-14,1.0788899094733303e-17,2.2252873055413533e-18,PROTAC 1,8.54,36000.0,1000,180,360,0,3.2,1.24e-12
6.0,0.005179474679231213,0.0,32.80523439425845,67.19476560574155,0.4709804445147109,0.6800501225449463,0.3968737670471345,-2.9957981447218636e-15,-1.1729546889752565e-17,-4.3039863683476376e-19,-8.436506584444121e-20,3.5210057177408574e-14,1.8589440434126413e-15,2.467937529257085e-16,3.563462642135519e-16,1.666139712192954e-14,1.3096645630502083e-17,2.7290109118920453e-18,PROTAC 1,8.54,36000.0,1000,180,360,0,3.2,1.24e-12
6.0,0.006866488450042998,0.0,41.30191213552129,58.69808786447871,0.5027090553638817,0.7356243788371071,13.44709827107432,-3.320911740057865e-15,-2.085201431456346e-17,-9.97464981411557e-19,-2.043469660704314e-19,3.0757798040986845e-14,2.0013624162534197e-15,2.63419545010674e-16,3.8546717451064414e-16,2.098816101029608e-14,1.5236477599888666e-17,3.2123074215103345e-18,PROTAC 1,8.54,36000.0,1000,180,360,0,3.2,1.24e-12
6.0,0.009102981779915217,0.0,50.54386730453169,49.45613269546831,0.505515775856451,0.7507459362208941,84.68781401105058,-3.3959075149013234e-15,-2.950985218746e-17,-1.6840742897322375e-18,-3.542149829039309e-19,2.59150135324254e-14,2.0314138354826445e-15,2.6489026654878033e-16,3.933908705797486e-16,2.5995687329803764e-14,1.6790017115718093e-17,3.585335455721223e-18,PROTAC 1,8.54,36000.0,1000,180,360,0,3.2,1.24e-12
6.0,0.012067926406393288,0.0,59.68849364165556,40.31150635834444,0.4789696437909759,0.7223658876542893,45.29681043523852,-3.1480195857269502e-15,-3.454232118740955e-17,-2.2692778315105788e-18,-4.8731925397485665e-19,2.1123229331772488e-14,1.9430494353943247e-15,2.509800933464714e-16,3.785197251308476e-16,3.157273239730642e-14,1.7432490701529297e-17,3.7717124079652366e-18,PROTAC 1,8.54,36000.0,1000,180,360,0,3.2,1.24e-12
6.0,0.015998587196060572,0.0,67.7945237156454,32.2054762843546,0.43314760185895207,0.6632180332673252,93.52437909672216,-2.6341899722251304e-15,-3.418126609754993e-17,-2.519232119838887e-18,-5.504576237177416e-19,1.6875669573001813e-14,1.773035578517603e-15,2.269693433740909e-16,3.475262494320784e-16,3.759589552148396e-14,1.718506393034595e-17,3.7658428179354084e-18,PROTAC 1,8.54,36000.0,1000,180,360,0,3.2,1.24e-12
6.0,0.021209508879201904,0.0,74.2462547724769,25.753745227523105,0.3828401990826742,0.5945574018198061,84.93902028032193,-2.0200802903096305e-15,-2.956820689867986e-17,-2.3910830144680913e-18,-5.300941981986337e-19,1.3494962499222108e-14,1.5798795822921123e-15,2.0060826431932127e-16,3.115480785535784e-16,4.40358247882152e-14,1.6418289001079823e-17,3.640598551396009e-18,PROTAC 1,8.54,36000.0,1000,180,360,0,3.2,1.24e-12
