t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,degradation_rate,total_target,total_target_ub,total_naked_ternary,total_ternary,total_bpd_ic,PROTAC,Kd_T_binary,kon_T_binary,kub,kde_ub,kdeg_UPS,kdeg_Ternary,alpha
6.0,0.0005,0.0,25.54335185879771,0.03251453659131891,0.10448112944269947,99.59134442811653,-2.4252361152507653e-14,1.0217340743519084e-13,3.653609550670122e-16,1.3005814636527563e-16,4.1792451777079787e-16,4.906194605406667e-15,ACBI1,9.26,36000.0,360,180,360,100,59.63623316594643
6.0,0.0005,0.0,21.283290391967,0.02845189121984523,0.10034942899339212,84.64031621723306,-2.3002278939815684e-14,8.5133161567868e-14,3.0379394841303745e-16,1.1380756487938091e-16,4.013977159735685e-16,4.910190229299253e-15,ACBI1,9.26,36000.0,360,180,360,100,71.96856730011514
6.0,0.0005,0.0,17.503513035758427,0.024411931494360925,0.09409175676660224,93.31348301804722,-2.1370076665120575e-14,7.001405214303371e-14,2.4450899609914755e-16,9.76477259774437e-17,3.7636702706640895e-16,4.913282624807024e-15,ACBI1,9.26,36000.0,360,180,360,100,86.85113737513521
6.0,0.0005,0.0,14.28421051545733,0.02065976190209832,0.0865409375822021,99.6883609955472,-1.9507807656184842e-14,5.713684206182932e-14,1.9167271984503682e-16,8.263904760839327e-17,3.461637503288084e-16,4.915262640435987e-15,ACBI1,9.26,36000.0,360,180,360,100,104.81131341546853
6.0,0.0005,0.0,11.631410954821938,0.01735214544165067,0.07849517434832842,99.5927270741099,-1.7573432183888174e-14,4.6525643819287757e-14,1.4731786950827436e-16,6.940858176660268e-17,3.139806973933137e-16,4.9161096252332214e-15,ACBI1,9.26,36000.0,360,180,360,100,126.48552168552958
6.0,0.0005,0.0,9.499926524888693,0.014548869948507143,0.07059096773421344,99.57974298776344,-1.5698191522258663e-14,3.799970609955477e-14,1.1173871046140287e-16,5.819547979402858e-17,2.823638709368538e-16,4.9159600541605284e-15,ACBI1,9.26,36000.0,360,180,360,100,152.6417967175232
6.0,0.0005,0.0,7.81778613944505,0.012240170445775793,0.06325498994211773,99.76410614746153,-1.3971500425223377e-14,3.12711445577802e-14,8.413425621277651e-17,4.8960681783103176e-17,2.5301995976847093e-16,4.915042071906929e-15,ACBI1,9.26,36000.0,360,180,360,100,184.20699693267144
6.0,0.0005,0.0,6.505470357708547,0.010376149172483345,0.05671774822311671,99.8891823634907,-1.2441106186888336e-14,2.6021881430834185e-14,6.320358782062999e-17,4.150459668993338e-17,2.2687099289246683e-16,4.9136084282585044e-15,ACBI1,9.26,36000.0,360,180,360,100,222.29964825261933
6.0,0.0005,0.0,5.487954334995577,0.0088901683392602,0.05105903399084024,99.83776291858928,-1.112184767427659e-14,2.195181733998231e-14,4.7559240336207585e-17,3.5560673357040805e-17,2.0423613596336098e-16,4.911888337863337e-15,ACBI1,9.26,36000.0,360,180,360,100,268.26957952797244
6.0,0.0005,0.0,4.700528277464025,0.007713982770915067,0.046259769115431434,99.69185059235184,-1.000678323052565e-14,1.8802113109856105e-14,3.595155582106994e-17,3.085593108366027e-17,1.8503907646172574e-16,4.91006328690108e-15,ACBI1,9.26,36000.0,360,180,360,100,323.74575428176433
6.0,0.0005,0.0,4.090415109876381,0.00678575125189433,0.04224591719618471,99.82934332879245,-9.07695558039142e-15,1.6361660439505523e-14,2.7354843442537743e-17,2.714300500757732e-17,1.6898366878473884e-16,4.908261864031453e-15,ACBI1,9.26,36000.0,360,180,360,100,390.6939937054613
6.0,0.0005,0.0,3.6160753431749577,0.00605317215906823,0.03891974178506707,99.82711009800262,-8.30843161930922e-15,1.4464301372699832e-14,2.0973533198069326e-17,2.421268863627292e-17,1.5567896714026827e-16,4.906565695638402e-15,ACBI1,9.26,36000.0,360,180,360,100,471.486636345739
6.0,0.0005,0.0,3.2455284442092767,0.005473815635503737,0.03617924933291525,99.8650126806298,-7.676681975989074e-15,1.2982113776837106e-14,1.6211908537359847e-17,2.189526254201495e-17,1.44716997331661e-16,4.905019802559041e-15,ACBI1,9.26,36000.0,360,180,360,100,568.9866029018293
6.0,0.0005,0.0,2.9544626703081063,0.005014117564015246,0.033928750992464445,99.78566284238987,-7.158932695556717e-15,1.1817850681232426e-14,1.263330245989957e-17,2.0056470256060984e-17,1.3571500396985778e-16,4.903643233812076e-15,ACBI1,9.26,36000.0,360,180,360,100,686.6488450042998
6.0,0.0005,0.0,2.724505378987678,0.004647910507702522,0.03208359989681007,99.84502406479866,-6.735184657722408e-15,1.0898021515950712e-14,9.921348791266034e-18,1.8591642030810087e-17,1.2833439958724027e-16,4.902438039226179e-15,ACBI1,9.26,36000.0,360,180,360,100,828.6427728546843
6.0,0.0005,0.0,2.5417878960008458,0.004354942605282403,0.03057150449937213,99.59551176143387,-6.388454852257518e-15,1.0167151584003385e-14,7.847946123367276e-18,1.7419770421129613e-17,1.222860179974885e-16,4.9013960437958845e-15,ACBI1,9.26,36000.0,360,180,360,100,1000.0
6.0,0.0005,0.0,55.33337876408459,0.0004254741392628004,0.00042734983126694616,99.00000000130322,-2.1733351540274194e-14,2.213335150563384e-13,3.418763538634748e-18,1.7018965570512018e-18,1.7093993250677845e-18,4.872528526662701e-15,ACBI1,9.26,36000.0,360,180,360,500,0.1
6.0,0.0005,0.0,55.33337871023826,0.0005129936377884524,0.0005157228316042246,99.00000000699585,-2.173335155734636e-14,2.2133351484095303e-13,4.125739528382991e-18,2.0519745511538095e-18,2.062891326416899e-18,4.872539963205757e-15,ACBI1,9.26,36000.0,360,180,360,500,0.12067926406393285
6.0,0.0005,0.0,55.33337859651025,0.0006184004794326066,0.0006223708088780192,99.00000000140386,-2.1733351593405544e-14,2.21333514386041e-13,4.978912873693891e-18,2.4736019177304264e-18,2.4894832355120766e-18,4.872553764802231e-15,ACBI1,9.26,36000.0,360,180,360,500,0.14563484775012436
6.0,0.0005,0.0,55.33337835651443,0.000745298339122216,0.0007510729344283105,99.00000000115894,-2.17333516695025e-14,2.213335134260577e-13,6.0085155613161816e-18,2.981193356488864e-18,3.0042917377132422e-18,4.872570420549027e-15,ACBI1,9.26,36000.0,360,180,360,500,0.1757510624854792
6.0,0.0005,0.0,55.33337785058554,0.0008979933759129624,0.0009063899016312013,99.00000003149063,-2.173335182992676e-14,2.2133351140234217e-13,7.25103050812613e-18,3.5919735036518494e-18,3.625559606524805e-18,4.872590520687142e-15,ACBI1,9.26,36000.0,360,180,360,500,0.21209508879201905
6.0,0.0005,0.0,55.33337678539175,0.0010816205663090473,0.001093825544743254,99.00000006749194,-2.1733352167707245e-14,2.2133350714156702e-13,8.750483202980855e-18,4.3264822652361896e-18,4.3753021789730166e-18,4.8726147775114965e-15,ACBI1,9.26,36000.0,360,180,360,500,0.2559547922699536
6.0,0.0005,0.0,55.333374546092784,0.0013022879366697243,0.0013200218789147858,99.00000013887666,-2.1733352877850983e-14,2.2133349818437115e-13,1.0559999303543424e-17,5.209151746678897e-18,5.280087515659143e-18,4.872644050593109e-15,ACBI1,9.26,36000.0,360,180,360,500,0.3088843596477481
6.0,0.0005,0.0,55.3333698470985,0.0015672389431929136,0.0015929944677577211,99.00000055477236,-2.1733354368149565e-14,2.2133347938839403e-13,1.2743681915880678e-17,6.268955772771655e-18,6.371977871030885e-18,4.872679377193897e-15,ACBI1,9.26,36000.0,360,180,360,500,0.372759372031494
6.0,0.0005,0.0,55.33336000821555,0.0018850319358734262,0.0019224164437985469,99.00000063224437,-2.173335748887494e-14,2.2133344003286222e-13,1.537887201832697e-17,7.540127743493705e-18,7.689665775194188e-18,4.8727220089183065e-15,ACBI1,9.26,36000.0,360,180,360,500,0.44984326689694454
6.0,0.0005,0.0,55.33333946155115,0.002265733580192225,0.0023199612049016626,99.00000144685117,-2.1733364006672336e-14,2.2133335784620458e-13,1.8558865774849535e-17,9.0629343207689e-18,9.279844819606652e-18,4.872773455838107e-15,ACBI1,9.26,36000.0,360,180,360,500,0.5428675439323859
6.0,0.0005,0.0,55.33329668953746,0.002721120011585333,0.0027997158221747076,99.00000002076776,-2.173337757665436e-14,2.2133318675814983e-13,2.23961719163039e-17,1.0884480046341332e-17,1.119886328869883e-17,4.872835539522886e-15,ACBI1,9.26,36000.0,360,180,360,500,0.6551285568595507
6.0,0.0005,0.0,55.333207989547674,0.0032648750041440267,0.003378679533931089,99.00001236440062,-2.173340572254225e-14,2.213328319581907e-13,2.702639775048601e-17,1.3059500016576108e-17,1.3514718135724357e-17,4.872910456602794e-15,ACBI1,9.26,36000.0,360,180,360,500,0.7906043210907697
6.0,0.0005,0.0,55.333024883896556,0.003912768104461885,0.004077364305749066,99.0000114791236,-2.173346383628403e-14,2.2133209953558623e-13,3.2612846902497424e-17,1.5651072417847542e-17,1.6309457222996263e-17,4.8730008546311136e-15,ACBI1,9.26,36000.0,360,180,360,500,0.9540954763499939
6.0,0.0005,0.0,55.332648960105516,0.0046827869674325485,0.004920517060856798,99.00002536184546,-2.17335831741502e-14,2.2133059584042207e-13,3.935188183351553e-17,1.8731147869730196e-17,1.9682068243427195e-17,4.873109922035992e-15,ACBI1,9.26,36000.0,360,180,360,500,1.151395399326447
6.0,0.0005,0.0,55.33188221778459,0.005595186319023303,0.005937985127758849,99.00005209905508,-2.1733826644514116e-14,2.2132752887113838e-13,4.7479022713497735e-17,2.2380745276093214e-17,2.37519405110354e-17,4.873241493748984e-15,ACBI1,9.26,36000.0,360,180,360,500,1.3894954943731375
6.0,0.0005,0.0,55.33033055752558,0.006672400007482394,0.007165745972281355,99.0001701180847,-2.1734319509160058e-14,2.213213222301023e-13,5.72755708780916e-17,2.6689600029929577e-17,2.866298388912542e-17,4.8734001735500924e-15,ACBI1,9.26,36000.0,360,180,360,500,1.6768329368110073
6.0,0.0005,0.0,55.32721963635814,0.007938740687799886,0.0086471153473366,99.00015100966515,-2.173530798426491e-14,2.2130887854543255e-13,6.907516884026175e-17,3.1754962751199546e-17,3.4588461389346404e-17,4.873591473249834e-15,ACBI1,9.26,36000.0,360,180,360,500,2.0235896477251565
6.0,0.0005,0.0,55.32105138324266,0.009419780457142266,0.010434125767435465,99.00039208033138,-2.1737268555138828e-14,2.2128420553297065e-13,8.326898383518966e-17,3.7679121828569065e-17,4.173650306974186e-17,4.8738219678918785e-15,ACBI1,9.26,36000.0,360,180,360,500,2.442053094548651
6.0,0.0005,0.0,55.308980865239796,0.01114125903394795,0.01258901136014213,99.00067282477576,-2.1741106135727034e-14,2.212359234609592e-13,1.0030688068859717e-16,4.4565036135791796e-17,5.0356045440568515e-17,4.874099466629725e-15,ACBI1,9.26,36000.0,360,180,360,500,2.9470517025518097
6.0,0.0005,0.0,55.28572407187974,0.013127293624386863,0.015185610044106268,99.0014884863781,-2.1748500454026462e-14,2.2114289628751896e-13,1.206896839015438e-16,5.2509174497547455e-17,6.074244017642507e-17,4.8744332046794235e-15,ACBI1,9.26,36000.0,360,180,360,500,3.5564803062231287
6.0,0.0005,0.0,55.241724404272986,0.015397553318931003,0.018310236309340484,99.00292574230903,-2.1762483444287498e-14,2.2096689761709195e-13,1.449440333083294e-16,6.159021327572401e-17,7.324094523736193e-17,4.8748340811991684e-15,ACBI1,9.26,36000.0,360,180,360,500,4.291934260128776
6.0,0.0005,0.0,55.16024055799382,0.01796290413483286,0.02206108933590571,99.00536631300143,-2.178834113899485e-14,2.206409622319753e-13,1.735662561122755e-16,7.185161653933144e-17,8.824435734362283e-17,4.8753150160987505e-15,ACBI1,9.26,36000.0,360,180,360,500,5.17947467923121
6.0,0.0005,0.0,55.01304996552854,0.020818857673909945,0.026544424023298954,99.00131190748259,-2.183489356415788e-14,2.2005219986211417e-13,2.0691587306625417e-16,8.327543069563979e-17,1.061776960931958e-16,4.875891595073524e-15,ACBI1,9.26,36000.0,360,180,360,500,6.25055192527397
6.0,0.0005,0.0,54.75474004611882,0.02393609293192057,0.03186447377433987,99.00571687374402,-2.1916038835201816e-14,2.1901896018447528e-13,2.4503589190764117e-16,9.574437172768228e-17,1.2745789509735948e-16,4.8765833234730156e-15,ACBI1,9.26,36000.0,360,180,360,500,7.543120063354615
6.0,0.0005,0.0,54.31629999330849,0.027247679298813735,0.038102714830956515,99.02656300007567,-2.205203476033148e-14,2.1726519997323396e-13,2.8738329333519095e-16,1.0899071719525495e-16,1.5241085932382606e-16,4.877415957909754e-15,ACBI1,9.26,36000.0,360,180,360,500,9.102981779915218
6.0,0.0005,0.0,53.600110714109036,0.030633951943875665,0.045281468817840495,99.03215594007321,-2.2269229854727635e-14,2.1440044285643615e-13,3.3248195489953376e-16,1.2253580777550265e-16,1.81125875271362e-16,4.878425300933023e-15,ACBI1,9.26,36000.0,360,180,360,500,10.985411419875584
