t,initial_BPD_ec_conc,initial_BPD_ic_conc,degradation,Ternary,all_Ternary,Dmax,PROTAC,Kd_T_binary,kon_T_binary,kub,alpha
6.0,0.2682695795279725,0.0,87.64156720107327,2.419821680658532,2.941004513286818,-73.83749068780786,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.35564803062231287,0.0,86.9177422249939,2.414109325278957,2.935487700400775,-79.28104399536208,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.47148663634573945,0.0,86.42636876534817,2.4001239471007763,2.9184514923848552,-66.99359139028883,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.6250551925273969,0.0,86.14610775838617,2.378567278780257,2.8908785435595505,-69.06291245295327,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.8286427728546842,0.0,86.06151439008951,2.348924817870892,2.8521905015543405,-76.16621629710457,PROTAC 1,8.54,36000.0,360,3.2
6.0,1.0985411419875573,0.0,86.16338153432447,2.309869392808835,2.800784017331913,-43.580183268825294,PROTAC 1,8.54,36000.0,360,3.2
6.0,1.4563484775012443,0.0,86.4478796588274,2.2594960593928883,2.7343627551633354,-89.24183058606158,PROTAC 1,8.54,36000.0,360,3.2
6.0,1.9306977288832496,0.0,86.91265132904292,2.195470976829613,2.6501720765604992,-44.15483915297875,PROTAC 1,8.54,36000.0,360,3.2
6.0,2.559547922699533,0.0,87.55368669389088,2.1152925736254065,2.545376648363199,-45.76442742719105,PROTAC 1,8.54,36000.0,360,3.2
6.0,3.39322177189533,0.0,88.36134337275018,2.0166773143725534,2.4175841819947816,-16.10387600844692,PROTAC 1,8.54,36000.0,360,3.2
6.0,4.498432668969444,0.0,89.31521940363122,1.898076493718231,2.2654998766963184,-77.3412258135031,PROTAC 1,8.54,36000.0,360,3.2
6.0,5.963623316594637,0.0,90.38256706204885,1.7593595556671175,2.089723054075371,1.004372095120909,PROTAC 1,8.54,36000.0,360,3.2
6.0,7.9060432109077015,0.0,91.51872091115382,1.6024223077657824,1.8933722366043528,-51.60852218046972,PROTAC 1,8.54,36000.0,360,3.2
6.0,10.481131341546853,0.0,92.67171864648662,1.4314920699915514,1.6822756039982123,-57.71849393671486,PROTAC 1,8.54,36000.0,360,3.2
6.0,13.89495494373136,0.0,93.78955711871113,1.2528660591582534,1.4644674343593782,-89.65282612362513,PROTAC 1,8.54,36000.0,360,3.2
6.0,18.420699693267164,0.0,94.82904063160105,1.074048584987492,1.2490315248497412,-95.55988305789324,PROTAC 1,8.54,36000.0,360,3.2
6.0,24.420530945486497,0.0,95.75966607446496,0.9024728006085123,1.044573352712637,-98.68969891686864,PROTAC 1,8.54,36000.0,360,3.2
6.0,32.3745754281764,0.0,96.56646218171274,0.7443191676000939,0.8579249304752283,-96.0671959227539,PROTAC 1,8.54,36000.0,360,3.2
6.0,42.91934260128778,0.0,97.24762317497562,0.6037487006494878,0.6934004932264491,-98.31762040846715,PROTAC 1,8.54,36000.0,360,3.2
6.0,56.89866029018293,0.0,97.81081309596964,0.4827263670628532,0.5527378430733005,-96.70642198480198,PROTAC 1,8.54,36000.0,360,3.2
6.0,75.43120063354607,0.0,98.26929376274445,0.381312735080809,0.4355372346847758,-97.47820834707527,PROTAC 1,8.54,36000.0,360,3.2
6.0,100.0,0.0,98.63779054137076,0.29822921730329605,0.3399610425954909,-83.49393081120382,PROTAC 1,8.54,36000.0,360,3.2
6.0,0.0001,0.0,96.91384394057647,0.018568988962162317,0.040602475233943704,-92.16787022894727,ACBI1,9.26,36000.0,360,26.0
6.0,0.00013257113655901095,0.0,95.93407213953778,0.02434871222921348,0.05325081142282488,-90.03412607962204,ACBI1,9.26,36000.0,360,26.0
6.0,0.00017575106248547912,0.0,94.65397325946473,0.03181482701464466,0.06959750054086161,-87.25903288957066,ACBI1,9.26,36000.0,360,26.0
6.0,0.00023299518105153718,0.0,92.98936432691922,0.04137728230322509,0.09054755217399173,-84.58061187054223,ACBI1,9.26,36000.0,360,26.0
6.0,0.00030888435964774815,0.0,90.83820509469695,0.05348565364850534,0.11709851130614245,-93.75941842715558,ACBI1,9.26,36000.0,360,26.0
6.0,0.00040949150623804275,0.0,88.08106623022776,0.06858512192341938,0.1502475667585413,-77.06423126466203,ACBI1,9.26,36000.0,360,26.0
6.0,0.0005428675439323859,0.0,84.58535823835939,0.08703139706508616,0.19081012802831795,-70.53273734817172,ACBI1,9.26,36000.0,360,26.0
6.0,0.0007196856730011522,0.0,80.21598178619426,0.10894820022083465,0.23911368644092576,-65.01207580327772,ACBI1,9.26,36000.0,360,26.0
6.0,0.0009540954763499944,0.0,74.85571380738493,0.13401820715939136,0.29454553021648355,-58.64489485457484,ACBI1,9.26,36000.0,360,26.0
6.0,0.0012648552168552957,0.0,68.43834150909622,0.1612249131818204,0.35498880777399594,-51.309571954849,ACBI1,9.26,36000.0,360,26.0
6.0,0.0016768329368110084,0.0,60.99482053594964,0.18862150990120083,0.41630693009694203,-43.544157451418236,ACBI1,9.26,36000.0,360,26.0
6.0,0.0022229964825261957,0.0,52.70557420566515,0.2132949914168254,0.472236930846698,-37.80676452750281,ACBI1,9.26,36000.0,360,26.0
6.0,0.0029470517025518097,0.0,43.93945703145138,0.23177612249203305,0.5152396144257615,-29.572981761126993,ACBI1,9.26,36000.0,360,26.0
6.0,0.003906939937054617,0.0,35.245740928899366,0.24108908811615223,0.5387519496268728,-26.68989347357136,ACBI1,9.26,36000.0,360,26.0
6.0,0.005179474679231213,0.0,27.263631943561144,0.24025178546727824,0.5404808618019351,-20.43644405716373,ACBI1,9.26,36000.0,360,26.0
6.0,0.006866488450042998,0.0,20.546213195365784,0.23133826825844506,0.524845856903053,-16.097274702032056,ACBI1,9.26,36000.0,360,26.0
6.0,0.009102981779915217,0.0,15.36784818112,0.2188416832862771,0.5017635140270666,-12.863832707096005,ACBI1,9.26,36000.0,360,26.0
6.0,0.012067926406393288,0.0,11.643473154231751,0.20711928819346984,0.48109786427111384,-10.12435534188233,ACBI1,9.26,36000.0,360,26.0
6.0,0.015998587196060572,0.0,9.037753536040377,0.19789592416042068,0.46695154102332104,-7.891428316799601,ACBI1,9.26,36000.0,360,26.0
6.0,0.021209508879201904,0.0,7.179399555145717,0.19025570815137866,0.45732446880379196,-5.571579932111901,ACBI1,9.26,36000.0,360,26.0
6.0,0.028117686979742307,0.0,5.804999006858222,0.18268528996816785,0.448554408550038,-4.819812992971704,ACBI1,9.26,36000.0,360,26.0
6.0,0.03727593720314938,0.0,4.766534402503778,0.174551438683895,0.4387790522232487,-3.7587389290638713,ACBI1,9.26,36000.0,360,26.0
6.0,0.04941713361323833,0.0,3.9793469805730766,0.16605467929726622,0.4280091929388242,-2.9808144302776203,ACBI1,9.26,36000.0,360,26.0
6.0,0.0655128556859551,0.0,3.3852569757400426,0.15767847981746,0.4169658327769936,-2.3839570017465457,ACBI1,9.26,36000.0,360,26.0
6.0,0.08685113737513521,0.0,2.9394638099166657,0.14986809535030352,0.40638451017343563,-1.9396265067862863,ACBI1,9.26,36000.0,360,26.0
6.0,0.1151395399326447,0.0,2.6068972921124223,0.1429317071608906,0.3968042227211781,-1.6069087773694362,ACBI1,9.26,36000.0,360,26.0
6.0,0.15264179671752334,0.0,2.3604884393235834,0.1370324485582444,0.3885411289791737,-1.360549284417917,ACBI1,9.26,36000.0,360,26.0
6.0,0.20235896477251575,0.0,2.1797273543078295,0.1322154455446376,0.3817238321151167,-1.1797329189768262,ACBI1,9.26,36000.0,360,26.0
6.0,0.2682695795279725,0.0,2.049378862151048,0.12844739722700302,0.3763505396591633,-1.0494840366783822,ACBI1,9.26,36000.0,360,26.0
6.0,0.35564803062231287,0.0,1.9583980223735986,0.12565527620933103,0.37234727308860904,-0.9584171866931284,ACBI1,9.26,36000.0,360,26.0
6.0,0.47148663634573945,0.0,1.8990693907175475,0.12375715339220783,0.3696157084047701,-0.8990056363649397,ACBI1,9.26,36000.0,360,26.0
6.0,0.6250551925273969,0.0,1.8663686709138416,0.12268342090895185,0.36806703662661644,-0.8663344087039755,ACBI1,9.26,36000.0,360,26.0
6.0,0.8286427728546842,0.0,1.8575315432364112,0.12238962922709572,0.36764295543235037,-0.8574993260047252,ACBI1,9.26,36000.0,360,26.0
6.0,1.0985411419875573,0.0,1.8718116578983728,0.12286296546757003,0.368326474219102,-0.8717440249981934,ACBI1,9.26,36000.0,360,26.0
6.0,1.4563484775012443,0.0,1.9104147339455466,0.12412391041693942,0.370144707365193,-0.9104483495385614,ACBI1,9.26,36000.0,360,26.0
6.0,1.9306977288832496,0.0,1.9766048259578257,0.1262235396702986,0.37316432877349304,-0.9769134022560944,ACBI1,9.26,36000.0,360,26.0
6.0,2.559547922699533,0.0,2.07598903015505,0.12923572947792883,0.37747862214045785,-1.0758441763633781,ACBI1,9.26,36000.0,360,26.0
6.0,3.39322177189533,0.0,2.2169953511616187,0.1332425434805072,0.3831837134200995,-1.2167670327766285,ACBI1,9.26,36000.0,360,26.0
6.0,4.498432668969444,0.0,2.4115619368034444,0.13831081607067655,0.39034144197990556,-1.4116009634051165,ACBI1,9.26,36000.0,360,26.0
6.0,5.963623316594637,0.0,2.676050763677164,0.14445918741190514,0.39892855293531865,-1.6747627063326038,ACBI1,9.26,36000.0,360,26.0
6.0,7.9060432109077015,0.0,3.0323820651226003,0.15161835143299104,0.40877739418343123,-2.032123321850857,ACBI1,9.26,36000.0,360,26.0
6.0,10.481131341546853,0.0,3.5093572220975364,0.15959288448898118,0.4195214087575518,-2.5196492847425853,ACBI1,9.26,36000.0,360,26.0
6.0,13.89495494373136,0.0,4.144110133395406,0.16803871558238287,0.4305665041533869,-3.119281279395973,ACBI1,9.26,36000.0,360,26.0
6.0,18.420699693267164,0.0,4.983706240704322,0.17647466418708155,0.44111813322088944,-3.975251673093127,ACBI1,9.26,36000.0,360,26.0
6.0,24.420530945486497,0.0,6.08789619125046,0.18436460459915385,0.45034346038725603,-5.087482584731029,ACBI1,9.26,36000.0,360,26.0
6.0,32.3745754281764,0.0,7.538082718450314,0.19135258031087699,0.4578603583061061,-6.541401765532488,ACBI1,9.26,36000.0,360,26.0
6.0,42.91934260128778,0.0,9.463194091459924,0.19766697379564918,0.46457770594034054,-8.347338887222516,ACBI1,9.26,36000.0,360,26.0
6.0,56.89866029018293,0.0,12.08328577515623,0.2042957838825912,0.472970189617534,-10.20992100210121,ACBI1,9.26,36000.0,360,26.0
6.0,75.43120063354607,0.0,15.707981525622433,0.21194558765261895,0.4846268157438953,-13.375902402571054,ACBI1,9.26,36000.0,360,26.0
6.0,100.0,0.0,20.644162826491648,0.21967475337280754,0.4972845025028128,-12.91187265285766,ACBI1,9.26,36000.0,360,26.0
